radius,dir_idx,sign,gp,Delta,feasible,improved
0.02,1,1.0,0.9130839180420252,0.5237153768581903,true,false
0.02,1,-1.0,0.8730839180420251,NaN,false,false
0.02,2,1.0,0.8930839180420251,1.003185334191307,false,false
0.02,2,-1.0,0.8930839180420251,1.0033043376700372,false,false
0.02,3,1.0,0.8930839180420251,0.9999131264628973,true,false
0.02,3,-1.0,0.8930839180420251,0.9994325314276932,true,false
0.02,4,1.0,0.8930839180420251,1.0042075701174706,false,false
0.02,4,-1.0,0.8930839180420251,1.0041086751125492,false,false
0.02,5,1.0,0.8930839180420251,0.9990070608047739,true,false
0.02,5,-1.0,0.8930839180420251,0.9992551614998713,true,false
0.02,6,1.0,0.8930839180420251,1.00007216691204,false,false
0.02,6,-1.0,0.8930839180420251,1.0018019041575674,false,false
0.02,7,1.0,0.8930839180420251,1.0036605382370554,false,false
0.02,7,-1.0,0.8930839180420251,1.0026472410608638,false,false
0.02,8,1.0,0.8930839180420251,1.0003252122826234,false,false
0.02,8,-1.0,0.8930839180420251,0.9998317273319474,true,false
0.02,9,1.0,0.8930839180420251,1.0001439186499685,false,false
0.02,9,-1.0,0.8930839180420251,0.9986756109562193,true,false
0.02,10,1.0,0.8930839180420251,1.003544371037281,false,false
0.02,10,-1.0,0.8930839180420251,1.0024044660042755,false,false
0.02,11,1.0,0.8930839180420251,0.9996895807409975,true,false
0.02,11,-1.0,0.8930839180420251,0.999175224232,true,false
0.02,12,1.0,0.8930839180420251,1.0042582356744698,false,false
0.02,12,-1.0,0.8930839180420251,1.004047674143528,false,false
0.02,13,1.0,0.8930839180420251,0.9988619998844435,true,false
0.02,13,-1.0,0.8930839180420251,0.9993617127017219,true,false
0.02,14,1.0,0.8930839180420251,0.9989879146499441,true,false
0.02,14,-1.0,0.8930839180420251,0.9991044468825969,true,false
0.02,15,1.0,0.8930839180420251,0.9990632418472594,true,false
0.02,15,-1.0,0.8930839180420251,0.9988241304247889,true,false
0.02,16,1.0,0.8930839180420251,0.999503807113781,true,false
0.02,16,-1.0,0.8930839180420251,0.998577678068771,true,false
0.02,17,1.0,0.8873521728389248,1.3877176394220083,false,false
0.02,17,-1.0,0.8988156632451255,0.8026872132991236,true,false
0.02,18,1.0,0.8926974289904422,1.0198551149389448,false,false
0.02,18,-1.0,0.893470407093608,0.981592214276845,true,false
0.02,19,1.0,0.8936336260628691,0.9761277873538187,true,false
0.02,19,-1.0,0.8925342100211812,1.0267770127136313,false,false
0.02,20,1.0,0.8927086669790891,1.0166912349535162,false,false
0.02,20,-1.0,0.8934591691049611,0.9856202427373543,true,false
0.02,21,1.0,0.8941259345296176,0.9564108186282921,true,false
0.02,21,-1.0,0.8920419015544326,1.053418140516039,false,false
0.02,22,1.0,0.8968180729596911,0.8561679222673733,true,false
0.02,22,-1.0,0.8893497631243592,1.2059967324478396,false,false
0.02,23,1.0,0.8866828629784578,1.4563700024688007,false,false
0.02,23,-1.0,0.8994849731055925,0.7768781222859468,true,false
0.02,24,1.0,0.8915644114709548,1.071874408082795,false,false
0.02,24,-1.0,0.8946034246130955,0.9371561140275234,true,false
0.02,25,1.0,0.8930834090913689,1.0002833763941357,false,false
0.02,25,-1.0,0.8930844269926814,1.0006497028732568,false,false
0.02,26,1.0,0.8955737388584056,0.9059845851393437,true,false
0.02,26,-1.0,0.8905940972256446,1.1306615536985425,false,false
0.02,27,1.0,0.8947905030955848,0.9314174419398435,true,false
0.02,27,-1.0,0.8913773329884654,1.0836651888979743,false,false
0.02,28,1.0,0.9027448166270208,0.6975069182186979,true,false
0.02,28,-1.0,0.8834230194570295,2.097155381094983,false,false
0.02,29,1.0,0.8957072789651747,0.8964059739507015,true,false
0.02,29,-1.0,0.8904605571188756,1.1360460435055446,false,false
0.02,30,1.0,0.8891100338383957,1.2258751691971832,false,false
0.02,30,-1.0,0.8970578022456546,0.8499728525709498,true,false
0.02,31,1.0,0.8969819711436277,0.8542920671213534,true,false
0.02,31,-1.0,0.8891858649404226,1.223514316555261,false,false
0.02,32,1.0,0.8967483879663439,0.8605426653662096,true,false
0.02,32,-1.0,0.8894194481177063,1.2019636731388597,false,false
0.02,33,1.0,0.8950625894118902,0.9205068337092136,true,false
0.02,33,-1.0,0.8911052466721601,1.1409202742870446,false,false
0.02,34,1.0,0.8986636414829267,0.800977427298547,true,false
0.02,34,-1.0,0.8875041946011236,1.363981299127303,false,false
0.02,35,1.0,0.8928053903085629,1.0141694209727519,false,false
0.02,35,-1.0,0.8933624457754874,0.9878453737710002,true,false
0.02,36,1.0,0.9027316739679573,0.6955600492216878,true,false
0.02,36,-1.0,0.883436162116093,2.093564857868996,false,false
