base_point,delta_frontier,class,coord,h_prod,step_scale,h_actual,flips_at_hprod,true_secant,fixed_dual_secant_ref,fixed_dual_secant_C,sign_convention,C_vs_ref_absdiff,C_vs_ref_sign_agree,ref_vs_true_abserr,ref_vs_true_relerr_excl_nearzero,ref_vs_true_sign_agree,C_err_le_ref_err_vs_true
baseB,2.0,random_tangent,196,0.1,0.5,0.05,0,-6.159412113015961e-05,-6.172388778535876e-05,-6.172388778535876e-05,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,1.2976665519914832e-07,,1,1
baseB,2.0,random_tangent,196,0.1,1.0,0.1,2,-0.0002949164555426931,-0.0002659912709856993,-0.0002659912709856993,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,2.8925184556993777e-05,,1,1
baseB,2.0,random_tangent,196,0.1,2.0,0.2,5,-0.000352690249643961,-0.00022095791122361819,-0.00022095791122389574,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,2.7755575615628914e-16,1,0.00013173233842034282,,1,1
baseB,2.0,random_tangent,68,0.1,0.5,0.05,11,-0.019436537097872186,-0.020468007819266498,-0.02046800781926761,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,1.1102230246251565e-15,1,0.001031470721394312,0.05306864675535397,1,1
baseB,2.0,random_tangent,68,0.1,1.0,0.1,22,-0.016530799753952663,-0.01681250383061328,-0.01681250383061328,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.00028170407666061603,0.017041164423594088,1,1
baseB,2.0,random_tangent,68,0.1,2.0,0.2,41,-0.012686426849355947,-0.012676193469367547,-0.012676193469367547,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,1.0233379988400237e-05,0.0008066400500247834,1,1
baseB,2.0,high_switch,37,0.1,0.5,0.05,44,0.013658863158194645,0.013556579924622891,0.013556579924624002,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,1.1102230246251565e-15,1,0.00010228323357175384,0.00748841484002927,1,1
baseB,2.0,high_switch,37,0.1,1.0,0.1,85,0.01282064270659633,0.012603576583418707,0.012603576583419263,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,5.551115123125783e-16,1,0.00021706612317762275,0.016930986078095785,1,1
baseB,2.0,high_switch,37,0.1,2.0,0.2,183,0.01241912788638555,0.011593195512976384,0.011593195512976384,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.0008259323734091661,0.06650486096649293,1,1
baseB,2.0,high_switch,327,0.1,0.5,0.05,44,0.0006762358748702013,0.001078519895562069,0.0010785198955609587,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,1.1102230246251565e-15,1,0.00040228402069186764,,1,1
baseB,2.0,high_switch,327,0.1,1.0,0.1,99,0.0018751896018776026,0.0013688242321663324,0.0013688242321668875,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,5.551115123125783e-16,1,0.0005063653697112702,0.27003422438149893,1,1
baseB,2.0,high_switch,327,0.1,2.0,0.2,209,0.0013642511516637201,0.0013119472251774122,0.0013119472251776898,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,2.7755575615628914e-16,1,5.2303926486307883e-05,0.038338927859817185,1,1
baseB,2.0,high_switch,15,0.1,0.5,0.05,22,0.005508284391739782,0.005201549468811795,0.005201549468811795,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.000306734922927987,0.05568610861631734,1,1
baseB,2.0,high_switch,15,0.1,1.0,0.1,43,0.004852869996602727,0.00431857728397822,0.00431857728397822,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.0005342927126245067,0.11009829502923851,1,1
baseB,2.0,high_switch,15,0.1,2.0,0.2,93,0.005623967295999011,0.004588646634060001,0.004588646634060278,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,2.7755575615628914e-16,1,0.0010353206619390098,0.18409080413315262,1,1
baseB,2.0,high_switch,348,0.1,0.5,0.05,21,0.003175893780748007,0.0032600490117840053,0.0032600490117840053,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,8.415523103599831e-05,0.02649812520372691,1,1
baseB,2.0,high_switch,348,0.1,1.0,0.1,34,0.0026493429205304286,0.0028273439245168897,0.0028273439245168897,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.00017800100398646101,0.06718684946636624,1,1
baseB,2.0,high_switch,348,0.1,2.0,0.2,68,0.002296668569483906,0.0025507910145819435,0.0025507910145819435,(Delta_plus-Delta_minus)/(2h) anchored to the Jacobian passed to KNITRO,0.0,1,0.0002541224450980373,0.11064828790474639,1,1
