point,W,scheme,rep,seed,pairwise_infeasible,winner_scan_feasible,n_zero_win_pairs,n_positive_share_pairs,worst_slack,t_draw,t_ctx
calibration,8000,stratified,14,800014002,true,false,1,400,-0.5955738215295483,0.0037908554077148438,3.3916800022125244
calibration,8000,stratified,15,800015002,true,false,1,400,-0.25232746211504065,0.004044055938720703,3.453467845916748
calibration,20000,plain,1,2000001001,false,true,0,400,1.351523431691806,0.005936861038208008,10.883564949035645
calibration,20000,plain,2,2000002001,false,true,0,400,0.4910244772831298,0.007983922958374023,3.4260098934173584
calibration,20000,plain,3,2000003001,false,true,0,400,0.010568799316388322,0.0054547786712646484,4.431863069534302
calibration,20000,plain,4,2000004001,true,false,1,400,-0.12477183744506881,0.005606889724731445,2.1753108501434326
calibration,20000,plain,5,2000005001,false,true,0,400,0.19951418076837335,0.005903959274291992,5.686827898025513
calibration,20000,plain,6,2000006001,false,true,0,400,0.9067702401930458,0.008858919143676758,3.793976068496704
calibration,20000,plain,7,2000007001,false,true,0,400,0.29256849003247964,0.005632162094116211,3.0898890495300293
calibration,20000,plain,8,2000008001,true,false,1,400,-0.24058338814646163,0.005198955535888672,2.209712028503418
calibration,20000,plain,9,2000009001,true,false,1,400,-0.09319811288046687,0.0054280757904052734,2.2104790210723877
calibration,20000,plain,10,2000010001,false,true,0,400,1.4140333231122817,0.007412910461425781,4.223347902297974
calibration,20000,plain,11,2000011001,true,false,1,400,-0.4110020398889134,0.00550079345703125,2.226984977722168
calibration,20000,plain,12,2000012001,true,false,2,400,-0.5089035545208684,0.00522303581237793,3.4878950119018555
calibration,20000,plain,13,2000013001,false,true,0,400,0.8104089042955938,0.005372047424316406,4.753276824951172
calibration,20000,plain,14,2000014001,false,true,0,400,0.7986757287334587,0.00529789924621582,4.30607795715332
calibration,20000,plain,15,2000015001,false,true,0,400,0.7062582650764373,0.005156993865966797,5.151735067367554
calibration,20000,stratified,1,2000001002,false,true,0,400,0.5180439652205564,0.009318113327026367,15.930474996566772
calibration,20000,stratified,2,2000002002,true,false,1,400,-0.22518509006957999,0.04616594314575195,2.2358388900756836
calibration,20000,stratified,3,2000003002,false,true,0,400,0.19132718546482685,0.016543149948120117,5.05784010887146
calibration,20000,stratified,4,2000004002,false,true,0,400,0.870511196334915,0.0481109619140625,3.0602738857269287
calibration,20000,stratified,5,2000005002,false,true,0,400,0.3488329035928892,0.010023832321166992,4.206099033355713
calibration,20000,stratified,6,2000006002,false,true,0,400,1.5136611698439797,0.046569108963012695,4.676027059555054
calibration,20000,stratified,7,2000007002,false,true,0,400,1.06155465268934,0.009602069854736328,4.283278942108154
calibration,20000,stratified,8,2000008002,false,true,0,400,1.3477678355667333,0.046456098556518555,4.647864103317261
calibration,20000,stratified,9,2000009002,false,true,0,400,0.9510428081636544,0.00978398323059082,3.3653299808502197
calibration,20000,stratified,10,2000010002,false,true,0,400,0.1851713350651778,0.046057939529418945,5.878712892532349
calibration,20000,stratified,11,2000011002,false,true,0,400,0.524067738166849,0.020035982131958008,3.839163064956665
calibration,20000,stratified,12,2000012002,false,true,0,400,0.5355308305963753,0.04576396942138672,3.4587669372558594
calibration,20000,stratified,13,2000013002,false,true,0,400,0.9877643460504277,0.015751123428344727,3.785665988922119
calibration,20000,stratified,14,2000014002,false,true,0,400,0.6528069785525652,0.0464019775390625,4.673320055007935
