branch,grid_index,fraction_to_theoretical_endpoint,gamma_d_prime,kappa_ratio,gains_from_trade_pct,A_hash,f_hash,classification,delta_star,certified_lower_bound,exact_infeasibility_kind,exact_infeasibility_block,policy,evaluation_cap,raw_lower_limit,solver_status,iterations,wall_seconds,warm_start_source,primal_dual_gap,normalization_residual,weighted_moment_residual,kkt_residual,primal_divergence,dual_divergence,min_slack,gravity_residual_A,gravity_residual_f,min_density_ratio,max_density_ratio,cold_replay_status
B_toward_max_gamma,2,0.0025,0.9697762476513854,0.9797479466,2.02520534,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000408236719,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,10,0.4923,previous_finite_idx1,1.138412e-17,1.110223e-16,1.021405e-14,,0.0004082367,0.0004082367,0.02045994,-3.756544e-15,5.689893e-16,0.2776345,4.753382,not_replayed
B_toward_max_gamma,3,0.005625,0.9698704500088282,0.9798113929,2.01886071,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000411493197,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,11,0.4923,previous_finite_idx2,7.090682000000001e-17,2.220446e-16,1.24345e-14,,0.0004114932,0.0004114932,0.02039518,-3.756544e-15,-1.63064e-16,0.2776345,4.753382,not_replayed
B_toward_max_gamma,4,0.01,0.970002338403562,0.9799002177,2.00997823,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000420165352,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,12,0.5035,previous_finite_idx3,1.185033e-16,2.220446e-16,1.088019e-14,,0.0004201654,0.0004201654,0.02030453,-3.756544e-15,8.994541e-16,0.2776345,4.753382,not_replayed
B_toward_max_gamma,5,0.015625,0.970171917959194,0.980014421,1.9985579,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000437820023,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,13,0.4935,previous_finite_idx4,1.276648e-16,0.0,8.65974e-15,,0.00043782,0.00043782,0.02018799,-3.756544e-15,9.653736e-16,0.2776345,4.753382,not_replayed
B_toward_max_gamma,6,0.0225,0.9703791952626498,0.9801540028,1.98459972,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000469839754,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,14,0.5425,previous_finite_idx5,1.955359e-16,0.0,1.676437e-14,,0.0004698398,0.0004698398,0.02004557,-3.756544e-15,3.304648e-16,0.2776345,4.753382,not_replayed
B_toward_max_gamma,7,0.030625,0.9706241785122643,0.9803189632,1.96810368,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000523972266,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,15,0.49,previous_finite_idx6,4.8897520000000006e-17,0.0,2.287059e-14,,0.0005239723,0.0005239723,0.01987729,-3.756544e-15,-9.280771e-17,0.2776345,4.753382,not_replayed
B_toward_max_gamma,8,0.04,0.9709068769232079,0.980509302,1.9490698,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000606673023,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5262,previous_finite_idx7,3.155028e-16,0.0,1.254552e-14,,0.000606673,0.000606673,0.01968315,-3.756544e-15,2.914335e-16,0.2776345,4.753382,not_replayed
B_toward_max_gamma,9,0.050625,0.9712273017664774,0.9807250194,1.92749806,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.00072926302,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.627,previous_finite_idx8,5.529431000000001e-17,0.0,3.04449e-14,,0.000729263,0.000729263,0.01946317,-3.756544e-15,3.096481e-16,0.2776345,4.753382,not_replayed
B_toward_max_gamma,10,0.0625,0.9715854653285546,0.9809661153,1.90338847,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.000900726381,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.5008,previous_finite_idx9,8.830827e-16,0.0,6.991367e-14,,0.0009007264,0.0009007264,0.01921736,-3.756544e-15,3.98119e-16,0.2014738,4.753382,not_replayed
B_toward_max_gamma,11,0.075625,0.9719813813560958,0.9812325896,1.87674104,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,0.00113673912,,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0,-10.0,0,16,0.4962,previous_finite_idx10,3.251089e-15,0.0,1.505553e-13,,0.001136739,0.001136739,0.01894575,-3.756544e-15,2.003606e-16,0.1370618,4.753382,not_replayed
