n_eval_from,n_eval_to,step_norm,frac_step_norm_in_scale_directions,frac_step_norm_in_relative_directions,Delta_dual_from,Delta_dual_to
142,144,0.008035045670740627,0.024510045722379647,0.9754899542776203,9.250120469544828e-5,9.171401538780648e-5
144,145,0.016026134909089194,0.021432517666179023,0.978567482333821,9.171401538780648e-5,8.879149251759473e-5
145,149,0.004012817139249631,0.028803831139253985,0.971196168860746,8.879149251759473e-5,8.873006961050489e-5
149,150,0.0040110647764016434,0.024367638866985952,0.975632361133014,8.873006961050489e-5,8.546722613781067e-5
150,154,0.003506248729837576,0.024557512319521645,0.9754424876804784,8.546722613781067e-5,8.505472955856576e-5
154,156,0.003512187563211072,0.02830773819620789,0.9716922618037921,8.505472955856576e-5,8.452612399874245e-5
156,159,0.0017528472529101259,0.02175729569696443,0.9782427043030356,8.452612399874245e-5,8.363314963376786e-5
159,160,0.0017529555537759045,0.027109894012176353,0.9728901059878237,8.363314963376786e-5,8.284623846455935e-5
160,164,0.0015338689510014628,0.020017864578289503,0.9799821354217105,8.284623846455935e-5,8.258429041156769e-5
164,166,0.0015337796022929138,0.02876164674661925,0.9712383532533807,8.258429041156769e-5,8.186408662599774e-5
166,171,0.0006727207360785809,0.017599116735243912,0.982400883264756,8.186408662599774e-5,8.154641638073177e-5
171,181,9.178590512284667e-6,0.024055244835030652,0.9759447551649694,8.154641638073177e-5,8.154629062681472e-5
181,184,2.2942223170267336e-6,0.028239063635290964,0.9717609363647091,8.154629062681472e-5,8.153488631342663e-5
184,192,1.2546113194200396e-7,0.027058564908415905,0.9729414350915842,8.153488631342663e-5,8.153488455381417e-5
192,195,3.1365285712565234e-8,0.027060914595933364,0.9729390854040666,8.153488455381417e-5,8.153488411434594e-5
195,197,1.5682643093375044e-8,0.027061516413952824,0.9729384835860472,8.153488411434594e-5,8.15348838946787e-5
197,200,3.920660419717467e-9,0.027061863288129148,0.9729381367118709,8.15348838946787e-5,8.153488383976922e-5
200,203,9.801648866134493e-10,0.027061181643167006,0.972938818356833,8.153488383976922e-5,8.153488382604118e-5
203,205,4.90080574278089e-10,0.027062701924155174,0.9729372980758448,8.153488382604118e-5,8.153488381917755e-5
205,207,2.450423914069257e-10,0.027061419625074884,0.9729385803749251,8.153488381917755e-5,8.153488381574561e-5
207,211,3.062855452679425e-11,0.02706603093637865,0.9729339690636214,8.153488381574561e-5,8.153488381531657e-5
211,216,1.9118320552192325e-12,0.027563564662778373,0.9724364353372217,8.153488381531657e-5,8.153488381528968e-5
216,221,8.401848625839506e-13,0.027006150765269635,0.9729938492347303,8.153488381528968e-5,8.153488381527752e-5
221,221,0.0,NaN,NaN,8.153488381527752e-5,8.153488381527752e-5
