basis,L,refIndex,point,ok,nStatus,d_total,rank_G,rank_deficiency,cond_hessian,inner_iters,max_abs_lambda_cm,max_abs_lambda_core,Delta_dual,wall_s
interval,10,2,perturbed,true,0,48,48,0,21088.464717825478,5,0.2750153804779063,6.555310782730796,0.04050515132970507,0.0368649959564209
interval,10,3,calib,true,0,48,47,1,12282.796753176766,4,0.13979962055232267,0.3135383386746493,0.003193060209606589,0.03383994102478027
interval,10,3,perturbed,true,0,48,48,0,19646.099378738887,5,0.24570086115195167,6.562526320784511,0.04033597343302289,0.038130998611450195
interval,10,4,calib,true,0,48,47,1,11469.105368955654,4,0.14851977393030175,0.33320580610023687,0.002780085159112785,0.035414934158325195
interval,10,4,perturbed,true,0,48,48,0,19483.312257687416,5,0.27957207199118816,6.609148984536604,0.04004165028763641,0.036752939224243164
interval,20,1,calib,true,0,78,77,1,11552.859363077156,4,0.22388460246410055,0.33966421072989333,0.005051142500772888,0.047904014587402344
interval,20,1,perturbed,true,0,78,78,0,19372.47577797255,5,0.3725767949985441,6.585463836618103,0.042935145145090836,0.05268120765686035
interval,20,2,calib,true,0,78,77,1,11883.251167259737,4,0.16803826034891564,0.3371098718167101,0.0045568676943515424,0.04748702049255371
interval,20,2,perturbed,true,0,78,78,0,20308.57777779486,5,0.4478884168066203,6.605371927822716,0.04285222622747599,0.053433895111083984
interval,20,3,calib,true,0,78,77,1,11571.014257641678,4,0.17134684795108712,0.3393801459423948,0.00482568984672783,0.04876899719238281
interval,20,3,perturbed,true,0,78,78,0,19303.812984481236,5,0.35490354807258095,6.575826535233826,0.04289868436513899,0.05391693115234375
interval,20,4,calib,true,0,78,77,1,11203.015553690424,4,0.2089710362805446,0.31089475793302274,0.005064397848559865,0.0469670295715332
interval,20,4,perturbed,true,0,78,78,0,19450.588728089744,5,0.43946850745260685,6.587164712981627,0.043079600225918335,0.05074191093444824
interval,50,1,calib,true,0,168,167,1,11231.043275794818,4,0.2908383670094683,0.3030744243203708,0.011505192697397616,0.10365891456604004
interval,50,1,perturbed,true,0,168,168,0,19329.205144322023,5,0.5706646505450387,6.6648995314207236,0.05034194800039928,0.15944385528564453
interval,50,2,calib,true,0,168,167,1,11565.84865515147,4,0.256149911079625,0.32376782652241276,0.010597318736518029,0.10270905494689941
interval,50,2,perturbed,true,0,168,168,0,19688.71501908312,5,0.6570325749312754,6.7336560539091,0.05058933738580885,0.12159895896911621
interval,50,3,calib,true,0,168,167,1,11317.22543581355,4,0.2094695601647638,0.3114972936889564,0.011460982962686703,0.14145183563232422
interval,50,3,perturbed,true,0,168,168,0,19255.712544769645,5,0.676699736747721,6.725025729160217,0.05108938885917068,0.12095308303833008
interval,50,4,calib,true,0,168,167,1,11265.473521581065,4,0.26119761796704044,0.28996472111852234,0.011435621406078853,0.10932183265686035
interval,50,4,perturbed,true,0,168,168,0,19269.08962574241,5,0.5849697576504314,6.675224865123689,0.050689923430674855,0.12795495986938477
std_interval,10,1,calib,true,0,48,47,1,22783.401343650512,4,0.06328235127070225,0.2948619151744426,0.003303450839273292,0.04311704635620117
std_interval,10,1,perturbed,true,0,48,48,0,33759.73593287463,5,0.1056461993776813,6.544828717274431,0.04031848855590041,0.03797483444213867
std_interval,10,2,calib,true,0,48,47,1,23308.377420860757,4,0.04271476683366199,0.3068791593555057,0.003484754063772372,0.032959938049316406
std_interval,10,2,perturbed,true,0,48,48,0,35374.48216894226,5,0.1091868426264526,6.555310782730789,0.04050515132970535,0.03402090072631836
std_interval,10,3,calib,true,0,48,47,1,22558.435156955795,4,0.05841653654757538,0.3135383386746572,0.003193060209606579,0.03209185600280762
std_interval,10,3,perturbed,true,0,48,48,0,33239.17225196765,5,0.10191796177861216,6.562526320784501,0.040335973433022414,0.033911943435668945
std_interval,10,4,calib,true,0,48,47,1,19492.76125121514,4,0.06270842445630666,0.3332058061002412,0.0027800851591127953,0.031787872314453125
std_interval,10,4,perturbed,true,0,48,48,0,29586.122177277648,5,0.11130401130635857,6.609148984536601,0.0400416502876363,0.034143924713134766
std_interval,20,1,calib,true,0,78,77,1,22752.015649696048,4,0.06968782560379237,0.3396642107299046,0.005051142500772875,0.04502987861633301
std_interval,20,1,perturbed,true,0,78,78,0,34110.75123967452,5,0.11109831054248982,6.585463836618104,0.042935145145090475,0.050292015075683594
std_interval,20,2,calib,true,0,78,77,1,23485.65196030834,4,0.05213574093375572,0.3371098718167123,0.004556867694351535,0.05147409439086914
std_interval,20,2,perturbed,true,0,78,78,0,36358.26517633408,5,0.13896236736427647,6.605371927822723,0.04285222622747593,0.051187992095947266
std_interval,20,3,calib,true,0,78,77,1,22633.230582260087,4,0.05222063158445231,0.3393801459424059,0.004825689846727822,0.04653286933898926
std_interval,20,3,perturbed,true,0,78,78,0,33459.14824714263,5,0.1061651849660978,6.575826535233838,0.04289868436513883,0.05199003219604492
std_interval,20,4,calib,true,0,78,77,1,19604.618280658666,4,0.06437082869411433,0.31089475793302723,0.005064397848559853,0.05208110809326172
std_interval,20,4,perturbed,true,0,78,78,0,30088.906821071065,5,0.13465728154880466,6.587164712981623,0.0430796002259187,0.059961795806884766
std_interval,50,1,calib,true,0,168,167,1,23036.909899914008,4,0.05401006162244308,0.30307442432036363,0.011505192697397618,0.10515189170837402
std_interval,50,1,perturbed,true,0,168,168,0,34928.73663812749,5,0.10597512721106754,6.664899531420738,0.05034194800039932,0.1661059856414795
std_interval,50,2,calib,true,0,168,167,1,23732.4586616133,4,0.0476521011477439,0.32376782652241104,0.010597318736518027,0.10903286933898926
std_interval,50,2,perturbed,true,0,168,168,0,36917.82825625947,5,0.12616517099287483,6.733656053909115,0.05058933738580905,0.1184241771697998
std_interval,50,3,calib,true,0,168,167,1,22930.92763123211,4,0.042218283051503845,0.31149729368895646,0.011460982962686706,0.1339578628540039
std_interval,50,3,perturbed,true,0,168,168,0,34178.905185771335,5,0.13256996343328356,6.725025729160225,0.05108938885917075,0.1189889907836914
std_interval,50,4,calib,true,0,168,167,1,20243.181495199537,4,0.05469679616875096,0.28996472111851523,0.01143562140607885,0.10316991806030273
std_interval,50,4,perturbed,true,0,168,168,0,31410.39200134772,5,0.11988169875739552,6.67522486512369,0.05068992343067489,0.12218999862670898
