point,dir_idx,h,pred_dot,delta0,delta_plus,delta_minus,central_secant,right_secant,left_secant,sign_match_central,sign_match_right,sign_match_left,n_switches_plus,cc_mass_plus,n_switches_minus,cc_mass_minus,wall_plus_s,wall_minus_s
upper_gp1.01,3,0.005,-0.011106629539757771,0.23088414900346266,0.23100738714954214,0.2312371362459889,-0.022974909644676855,0.024647629215895916,-0.07059744850524963,true,false,true,66,0.0012537986247732325,57,0.0008145512677824978,6.021492958068848,5.549867868423462
upper_gp1.01,4,0.02,0.03483819203135147,0.23088414900346266,0.23193743511198095,0.22960923681533604,0.058204957416122666,0.052664305425914604,0.06374560940633073,true,true,true,298,0.00385613129994888,299,0.005893728849966854,5.9948649406433105,6.035595893859863
upper_gp1.01,4,0.005,0.03483819203135147,0.23088414900346266,0.2314053821094975,0.23063876184541415,0.07666202640833342,0.10424662120696593,0.049077431609700906,true,true,true,79,0.0010257386673222775,85,0.0016316349417798913,5.961262941360474,5.478212118148804
upper_gp1.01,5,0.02,0.005585528252660393,0.23088414900346266,0.23118847930000486,0.23063573369500934,0.013818640124887982,0.01521651482710995,0.012420765422666014,true,true,true,288,0.00398995763393664,281,0.00419852739207612,6.257471084594727,6.205686092376709
upper_gp1.01,5,0.005,0.005585528252660393,0.23088414900346266,0.23101050020620137,0.2309078624705224,0.010263773567897871,0.025270240547742295,-0.0047426934119465525,true,true,false,66,0.0009656248479117757,72,0.001057186299201544,5.538434982299805,5.927431106567383
upper_gp1.01,6,0.02,-0.00171663873113999,0.23088414900346266,0.23078592699764594,0.23096755164905125,-0.004540616285132748,-0.004911100290835857,-0.004170132279429639,true,true,true,213,0.003188142788071047,235,0.0030001642063427663,6.6564271450042725,6.601266860961914
upper_gp1.01,6,0.005,-0.00171663873113999,0.23088414900346266,0.2309533337531372,0.2310576818171453,-0.010434806400810848,0.013836949934908915,-0.03470656273653061,true,false,true,59,0.000863909022948876,60,0.00069608198775583,6.317468166351318,5.830760955810547
upper_gp1.01,7,0.02,0.002249337317747465,0.23088414900346266,0.23119067563072596,0.23103341378120093,0.003931546238125638,0.015326331363164913,-0.007463238886913637,true,true,false,233,0.0032779915877547213,198,0.0028549167613202164,6.452399015426636,6.07857608795166
upper_gp1.01,7,0.005,0.002249337317747465,0.23088414900346266,0.2309965090716432,0.23089480943194643,0.010169963969677842,0.022472013636110066,-0.002132085696754382,true,true,false,65,0.0009131404809087937,57,0.0007783662452569163,5.52360200881958,5.633512020111084
upper_gp1.01,8,0.02,0.007100933658381469,0.23088414900346266,0.23135734149401874,0.23094133373214784,0.010400194046772393,0.023659624527803957,-0.0028592364342591714,true,true,false,206,0.003074671381998684,206,0.0031387865312336146,6.06941294670105,6.09133505821228
