direction,h,gammap_target,deltastar,nStatus,fd_slope,envelope_slope,warm
random1,0.003,0.9227466791938163,0.001922857327600623,0,-0.012209641610299256,0.006375384418820026,true
random1,0.01,0.9227466791938163,0.0020434435881266926,0,0.00839573356951717,0.006375384418820026,true
random1,0.03,0.9227466791938163,0.0023109200165090846,0,0.011714458802585459,0.006375384418820026,true
random1[COLD@hmax],-0.03,0.9227466791938163,0.0020843614268784773,0,NaN,NaN,false
random2,-0.03,0.9227466791938163,0.002507444354293329,0,-0.01826527006206028,0.011377306888770604,true
random2,-0.01,0.9227466791938163,0.0019364765778448676,0,0.00230096745866533,0.011377306888770604,true
random2,-0.003,0.9227466791938163,0.001945297989378134,0,0.004729421017795616,0.011377306888770604,true
random2,-0.001,0.9227466791938163,0.0019589124569970103,0,0.0005737954345105996,0.011377306888770604,true
random2,0.001,0.9227466791938163,0.001961738873825499,0,0.00225262139397827,0.011377306888770604,true
random2,0.003,0.9227466791938163,0.001953045345418033,0,-0.002146969004495963,0.011377306888770604,true
random2,0.01,0.9227466791938163,0.002085374719341131,0,0.012588846690961015,0.011377306888770604,true
random2,0.03,0.9227466791938163,0.003025215358012731,0,0.03552430351937367,0.011377306888770604,true
random2[COLD@hmax],-0.03,0.9227466791938163,0.0025074443542933153,0,NaN,NaN,false
random3,-0.03,0.9227466791938163,0.0026106069122118205,0,-0.021704021992676657,-0.004602546202082648,true
random3,-0.01,0.9227466791938163,0.00206391595138293,0,-0.010442969895140897,-0.004602546202082648,true
random3,-0.003,0.9227466791938163,0.0019735646660405588,0,-0.00469280453634597,-0.004602546202082648,true
random3,-0.001,0.9227466791938163,0.001967443814054616,0,-0.007957561623095095,-0.004602546202082648,true
random3,0.001,0.9227466791938163,0.001948700193139235,0,-0.010786059292285967,-0.004602546202082648,true
random3,0.003,0.9227466791938163,0.001959423522753487,0,-2.0909892678010883e-5,-0.004602546202082648,true
random3,0.01,0.9227466791938163,0.0019717096161037504,0,0.0012223363672229492,-0.004602546202082648,true
random3,0.03,0.9227466791938163,0.0022722136855597977,0,0.01042424777094256,-0.004602546202082648,true
random3[COLD@hmax],-0.03,0.9227466791938163,0.0026106069122117607,0,NaN,NaN,false
baseline(h=0),0.0,0.9343346773147438,0.023317326328530175,0,NaN,NaN,false
competitor_swap,-0.03,0.9343346773147438,0.024367693590738287,0,-0.03501224207360376,-0.010013737142021278,true
competitor_swap,-0.01,0.9343346773147438,0.02359301610746191,0,-0.02756897789317342,-0.010013737142021278,true
competitor_swap,-0.003,0.9343346773147438,0.023394847231619217,0,-0.025840301029680702,-0.010013737142021278,true
competitor_swap,-0.001,0.9343346773147438,0.02332648304156907,0,-0.009156713038895037,-0.010013737142021278,true
competitor_swap,0.001,0.9343346773147438,0.02332020963400115,0,0.002883305470977038,-0.010013737142021278,true
competitor_swap,0.003,0.9343346773147438,0.023240971272302065,0,-0.025451685409369717,-0.010013737142021278,true
competitor_swap,0.01,0.9343346773147438,0.02319953200962737,0,-0.01177943189028044,-0.010013737142021278,true
competitor_swap,0.03,0.9343346773147438,0.02303529101148762,0,-0.009401177234751845,-0.010013737142021278,true
competitor_swap[COLD@hmax],-0.03,0.9343346773147438,0.02436769359073837,0,NaN,NaN,false
random1,-0.03,0.9343346773147438,0.023719963834247182,0,-0.01342125019056691,-0.0020418307957870132,true
random1,-0.01,0.9343346773147438,0.023404461845418324,0,-0.008713551688814894,-0.0020418307957870132,true
random1,-0.003,0.9343346773147438,0.02337153606338822,0,-0.018069911619348483,-0.0020418307957870132,true
random1,-0.001,0.9343346773147438,0.02333180502029358,0,-0.0144786917634053,-0.0020418307957870132,true
