o,d,data_share,predicted_share,abs_residual,rel_residual
6.0,10.0,0.021709850000000027,0.021709849999999968,-5.898059818321144e-17,-2.7167667295357344e-15
6.0,11.0,0.019860990000000026,0.019860989999999974,-5.204170427930421e-17,-2.6202975923810516e-15
6.0,12.0,0.0092696808,0.009269680799999971,-2.7755575615628914e-17,-2.994232079235017e-15
6.0,13.0,0.021782581000000033,0.021782580999999968,-6.591949208711867e-17,-3.0262479954564876e-15
6.0,14.0,0.031499444999999966,0.03149944499999987,-9.71445146547012e-17,-3.0840071834504164e-15
6.0,15.0,0.03705324200000005,0.03705324199999994,-1.1102230246251565e-16,-2.99629118721961e-15
6.0,16.0,0.009541130600000017,0.00954113059999999,-2.6020852139652106e-17,-2.727229427050507e-15
6.0,17.0,0.020726308000000034,0.020726307999999978,-5.551115123125783e-17,-2.6782942350976227e-15
6.0,18.0,0.015704041000000023,0.015704040999999985,-3.8163916471489756e-17,-2.4301972002932046e-15
6.0,19.0,0.01347872500000004,0.013478724999999995,-4.5102810375396984e-17,-3.3462223151964928e-15
6.0,20.0,0.023194177,0.023194176999999927,-7.28583859910259e-17,-3.141236095207254e-15
7.0,1.0,0.004798328500000007,0.004798328499999989,-1.8214596497756474e-17,-3.7960294918858615e-15
7.0,2.0,0.02317239500000003,0.02317239499999995,-7.979727989493313e-17,-3.4436354073427896e-15
7.0,3.0,0.005176810500000009,0.005176810499999988,-2.0816681711721685e-17,-4.0211403743138074e-15
7.0,4.0,0.005315271200000008,0.005315271199999989,-1.9081958235744878e-17,-3.590025328480859e-15
7.0,5.0,0.043234691,0.04323469099999985,-1.457167719820518e-16,-3.3703669116555454e-15
7.0,6.0,0.0035632688000000043,0.0035632687999999886,-1.5612511283791264e-17,-4.381513761687371e-15
7.0,7.0,0.8222145399999998,0.8222145399999954,-4.440892098500626e-15,-5.401135448785213e-15
7.0,8.0,0.020448527999999997,0.020448527999999924,-7.28583859910259e-17,-3.563013728471111e-15
7.0,9.0,0.018478340000000003,0.018478339999999937,-6.591949208711867e-17,-3.567392530233704e-15
7.0,10.0,0.0025369779000000035,0.0025369778999999935,-9.974659986866641e-18,-3.931709451180725e-15
7.0,11.0,0.005548059500000016,0.005548059499999997,-1.9081958235744878e-17,-3.439393221313654e-15
7.0,12.0,0.02034436400000003,0.020344363999999962,-6.938893903907228e-17,-3.410720484507266e-15
7.0,13.0,0.0037226460000000052,0.003722645999999993,-1.214306433183765e-17,-3.2619444158369162e-15
7.0,14.0,0.0074270689000000105,0.007427068899999988,-2.2551405187698492e-17,-3.036380231735626e-15
7.0,15.0,0.009487713700000002,0.009487713699999973,-2.949029909160572e-17,-3.1082619084095797e-15
7.0,16.0,0.03313132700000006,0.03313132699999995,-1.1102230246251565e-16,-3.3509766289323534e-15
7.0,17.0,0.010944904000000014,0.01094490399999997,-4.336808689942018e-17,-3.962399935113193e-15
7.0,18.0,0.015394037000000003,0.015394036999999956,-4.683753385137379e-17,-3.042576411332114e-15
7.0,19.0,0.004665915900000013,0.004665915899999996,-1.734723475976807e-17,-3.7178627158213505e-15
7.0,20.0,0.01688737200000003,0.016887371999999966,-6.245004513516506e-17,-3.698032182577902e-15
8.0,1.0,0.0011294073000000032,0.0011294073000000012,-1.951563910473908e-18,-1.727954043217095e-15
8.0,2.0,0.01228987300000002,0.012289873000000003,-1.734723475976807e-17,-1.411506429705827e-15
8.0,3.0,0.0019022841000000026,0.0019022840999999998,-2.8189256484623115e-18,-1.481863644059427e-15
8.0,4.0,0.0010933671000000016,0.0010933671,-1.5178830414797062e-18,-1.3882647845172074e-15
8.0,5.0,0.006934221400000009,0.006934221399999998,-1.0408340855860843e-17,-1.5010107487858448e-15
8.0,6.0,0.00045322685000000114,0.00045322685000000055,-5.963111948670274e-19,-1.3157013863301037e-15
8.0,7.0,0.006096875300000019,0.006096875300000011,-7.806255641895632e-18,-1.2803699038908682e-15
8.0,8.0,0.8299339400000013,0.8299339400000013,0.0,0.0
8.0,9.0,0.008088396900000001,0.008088396899999989,-1.214306433183765e-17,-1.5012943209843781e-15
8.0,10.0,0.0006523328500000012,0.0006523328500000002,-9.75781955236954e-19,-1.4958344581864185e-15
8.0,11.0,0.0008673322200000014,0.0008673322199999999,-1.4094628242311558e-18,-1.6250553037579459e-15
8.0,12.0,0.008027539600000013,0.0080275396,-1.3877787807814457e-17,-1.728772263896952e-15
8.0,13.0,0.0006007279700000009,0.0006007279699999999,-9.75781955236954e-19,-1.6243324831985973e-15
8.0,14.0,0.0009338263800000027,0.0009338263800000015,-1.1926223897340549e-18,-1.2771350384576322e-15
8.0,15.0,0.003782246700000011,0.003782246700000006,-5.204170427930421e-18,-1.3759468487157133e-15
8.0,16.0,0.00603403900000001,0.006034039000000001,-9.540979117872439e-18,-1.5811928159351345e-15
8.0,17.0,0.002294594200000003,0.002294594199999999,-4.336808689942018e-18,-1.890011179293494e-15
8.0,18.0,0.004405967400000007,0.004405967400000002,-5.204170427930421e-18,-1.1811640794097598e-15
8.0,19.0,0.0008634881800000002,0.0008634881799999991,-1.0842021724855044e-18,-1.2556074276378678e-15
8.0,20.0,0.004805787500000015,0.004805787500000007,-7.806255641895632e-18,-1.6243447388998384e-15
9.0,1.0,0.0040885387,0.004088538699999975,-2.5153490401663703e-17,-6.152195747019272e-15
9.0,2.0,0.009988921700000012,0.009988921699999953,-5.898059818321144e-17,-5.9046011125716774e-15
9.0,3.0,0.003196439500000005,0.0031964394999999843,-2.0816681711721685e-17,-6.512459163303936e-15
9.0,4.0,0.0037398653000000055,0.003739865299999985,-2.0383000842727483e-17,-5.450196519839218e-15
9.0,5.0,0.010983508,0.01098350799999994,-5.898059818321144e-17,-5.369923542024228e-15
9.0,6.0,0.001250113700000002,0.001250113699999993,-8.890457814381136e-18,-7.111719369511047e-15
9.0,7.0,0.008402238600000007,0.008402238599999959,-4.85722573273506e-17,-5.78087098447199e-15
9.0,8.0,0.008842257800000012,0.008842257799999963,-4.85722573273506e-17,-5.49319624308517e-15
9.0,9.0,0.8431139599999987,0.8431139599999949,-3.774758283725532e-15,-4.477162593447673e-15
9.0,10.0,0.0010820661000000029,0.0010820660999999955,-7.37257477290143e-18,-6.813423665062061e-15
9.0,11.0,0.002357035200000003,0.0023570351999999866,-1.6479873021779667e-17,-6.991780615656332e-15
9.0,12.0,0.0052818395,0.00528183949999997,-2.949029909160572e-17,-5.583338738635607e-15
9.0,13.0,0.0018710698,0.0018710697999999896,-1.0408340855860843e-17,-5.562775293503664e-15
9.0,14.0,0.0028413997000000042,0.002841399699999991,-1.3444106938820255e-17,-4.7315085374367556e-15
9.0,15.0,0.0015260484000000022,0.0015260483999999944,-7.806255641895632e-18,-5.115339488508766e-15
9.0,16.0,0.017823795000000024,0.017823794999999924,-1.0061396160665481e-16,-5.6449236319568684e-15
9.0,17.0,0.003916941600000012,0.003916941599999987,-2.42861286636753e-17,-6.200278468199584e-15
9.0,18.0,0.004187546700000012,0.0041875466999999915,-2.0816681711721685e-17,-4.971092432645975e-15
9.0,19.0,0.0038964646000000055,0.003896464599999983,-2.2551405187698492e-17,-5.78765817292385e-15
9.0,20.0,0.00784725880000001,0.007847258799999965,-4.5102810375396984e-17,-5.747587982621005e-15
10.0,1.0,0.002260140100000003,0.002260140100000099,9.584347204771859e-17,4.240598715438856e-14
10.0,2.0,0.0004498706000000001,0.00044987060000002097,2.087089182034596e-17,4.639310019446915e-14
10.0,3.0,0.0006296704500000017,0.0006296704499999995,-2.168404344971009e-18,-3.443713048581211e-15
10.0,4.0,0.0005571993000000008,0.0005571992999999989,-1.951563910473908e-18,-3.50245219345018e-15
10.0,5.0,0.0003728066800000016,0.00037280668000001734,1.5720931501039814e-17,4.21691250302697e-14
10.0,6.0,0.0010573565000000014,0.0010573565000000407,3.924811864397526e-17,3.7119097148383924e-14
10.0,7.0,0.000609428450000001,0.00060942845000003,2.905661822261152e-17,4.7678473531407126e-14
10.0,8.0,0.0011112224000000015,0.0011112224000000546,5.312590645178972e-17,4.780852730451586e-14
10.0,9.0,0.0004290514000000001,0.0004290514000000202,2.0111950299606107e-17,4.68753867243088e-14
10.0,10.0,0.8884423399999999,0.8884423400000159,1.5987211554602254e-14,1.7994652927732212e-14
10.0,11.0,0.0046597752000000206,0.0046597752000002,1.7954387976359953e-16,3.853058829181261e-14
10.0,12.0,0.0006454689400000008,0.0006454689400000318,3.1008182133085427e-17,4.803977420367491e-14
10.0,13.0,0.0029143293000000047,0.002914329300000126,1.214306433183765e-16,4.1666754446169244e-14
10.0,14.0,0.0033581825000000044,0.003358182500000111,1.0668549377257364e-16,3.176881952442236e-14
10.0,15.0,0.0007227261700000011,0.0007227261699999986,-2.4936649967166602e-18,-3.4503593480178758e-15
10.0,16.0,0.0013667333000000003,0.0013667333000000634,6.310056643865636e-17,4.6168895159469914e-14
10.0,17.0,0.0011656326000000035,0.0011656326000000483,4.4885969940899884e-17,3.850781965166361e-14
10.0,18.0,0.0012772987000000023,0.0012772986999999983,-3.903127820947816e-18,-3.055767473142977e-15
10.0,19.0,0.0007798422600000022,0.0007798422599999994,-2.8189256484623115e-18,-3.614738252915793e-15
10.0,20.0,0.002036705600000002,0.0020367056000001,9.80118763926896e-17,4.8122750972300315e-14
11.0,1.0,0.0027535332000000025,0.0027535331999999956,-6.938893903907228e-18,-2.5199964554294178e-15
11.0,2.0,0.002178114400000003,0.002178114399999997,-5.637851296924623e-18,-2.5884091748921066e-15
11.0,3.0,0.001835618900000005,0.0018356189000000005,-4.553649124439119e-18,-2.480715972383541e-15
11.0,4.0,0.0024100507000000006,0.002410050699999994,-6.5052130349130266e-18,-2.6992017366742636e-15
11.0,5.0,0.003608864000000005,0.0036088639999999964,-8.673617379884035e-18,-2.4034204059460326e-15
11.0,6.0,0.0009725685800000013,0.0009725685799999986,-2.710505431213761e-18,-2.7869555802571346e-15
11.0,7.0,0.002197131300000006,0.0021971313000000007,-5.204170427930421e-18,-2.368620586275571e-15
11.0,8.0,0.002496483300000003,0.002496483299999996,-6.938893903907228e-18,-2.779467382740842e-15
11.0,9.0,0.003507840200000005,0.003507840199999997,-8.239936510889834e-18,-2.349005667615595e-15
11.0,10.0,0.0030899164000000048,0.0030899163999999965,-8.239936510889834e-18,-2.6667182681349636e-15
11.0,11.0,0.87948465,0.8794846500000065,6.5503158452884236e-15,7.44790241113182e-15
11.0,12.0,0.0020609293000000005,0.0020609292999999953,-5.204170427930421e-18,-2.525157184154944e-15
11.0,13.0,0.0015088745000000003,0.0015088744999999966,-3.686287386450715e-18,-2.443070902484411e-15
11.0,14.0,0.003177488,0.0031774879999999926,-7.37257477290143e-18,-2.3202525935271605e-15
11.0,15.0,0.0025787223000000004,0.0025787222999999926,-7.806255641895632e-18,-3.0271796392716e-15
11.0,16.0,0.0033089931000000053,0.0033089930999999967,-8.673617379884035e-18,-2.6212255866849712e-15
11.0,17.0,0.0017859467000000027,0.0017859466999999977,-4.9873299934333204e-18,-2.7925413414819785e-15
11.0,18.0,0.004857403200000008,0.004857403199999996,-1.1275702593849246e-17,-2.3213437570612274e-15
11.0,19.0,0.0033683879000000042,0.0033683878999999964,-7.806255641895632e-18,-2.3175049530060426e-15
11.0,20.0,0.005838399300000016,0.0058383993000000025,-1.3877787807814457e-17,-2.3769850424266834e-15
12.0,1.0,0.002614003400000007,0.002614003400000007,0.0,0.0
12.0,2.0,0.011660539000000013,0.01166053900000001,-3.469446951953614e-18,-2.9753744247616774e-16
12.0,3.0,0.0020156129999999994,0.0020156129999999994,0.0,0.0
12.0,4.0,0.0027167129000000086,0.002716712900000008,-4.336808689942018e-19,-1.5963441296803957e-16
12.0,5.0,0.01680323900000003,0.016803239000000025,-3.469446951953614e-18,-2.064748916535442e-16
12.0,6.0,0.0008550402700000015,0.0008550402700000017,2.168404344971009e-19,2.5360259873736767e-16
12.0,7.0,0.008837371100000024,0.00883737110000002,-3.469446951953614e-18,-3.925881252122144e-16
12.0,8.0,0.011321198999999988,0.011321198999999981,-6.938893903907228e-18,-6.129115744637326e-16
12.0,9.0,0.006182332500000009,0.006182332500000006,-2.6020852139652106e-18,-4.208905318446083e-16
12.0,10.0,0.0011241337000000033,0.001124133700000003,-2.168404344971009e-19,-1.9289559106456843e-16
12.0,11.0,0.0018787599,0.0018787598999999988,-1.0842021724855044e-18,-5.770839437681763e-16
12.0,12.0,0.8558491499999998,0.8558491499999968,-2.9976021664879227e-15,-3.5024889216609297e-15
12.0,13.0,0.0012332809,0.0012332809000000005,4.336808689942018e-19,3.516480868180167e-16
12.0,14.0,0.0021518031000000034,0.002151803100000001,-2.168404344971009e-18,-1.0077150390623592e-15
12.0,15.0,0.0037938377000000063,0.0037938377000000033,-3.0357660829594124e-18,-8.001834350898583e-16
12.0,16.0,0.0051830639,0.005183063899999998,-1.734723475976807e-18,-3.34690736878009e-16
12.0,17.0,0.004783580500000008,0.004783580500000008,0.0,0.0
12.0,18.0,0.008124942000000012,0.008124942000000005,-6.938893903907228e-18,-8.540238076662232e-16
12.0,19.0,0.0019079199000000035,0.001907919900000003,-4.336808689942018e-19,-2.2730559547819643e-16
12.0,20.0,0.0063664094,0.006366409399999996,-4.336808689942018e-18,-6.81201666035178e-16
13.0,1.0,0.007054702800000021,0.007054702800000012,-8.673617379884035e-18,-1.2294801958041393e-15
13.0,2.0,0.0029709917000000055,0.0029709917000000016,-3.903127820947816e-18,-1.3137457842604572e-15
13.0,3.0,0.0017880457000000027,0.0017880457000000005,-2.168404344971009e-18,-1.2127231115910547e-15
13.0,4.0,0.004669233700000006,0.004669233699999998,-7.806255641895632e-18,-1.6718494175812237e-15
13.0,5.0,0.0027525532000000075,0.0027525532000000036,-3.903127820947816e-18,-1.4180026823633437e-15
13.0,6.0,0.005742696600000014,0.005742696600000007,-6.938893903907228e-18,-1.2082988859114047e-15
13.0,7.0,0.0038113929000000114,0.0038113929000000066,-4.7704895589362195e-18,-1.2516394095544978e-15
13.0,8.0,0.0020086234000000003,0.0020086233999999986,-1.734723475976807e-18,-8.636379900666331e-16
13.0,9.0,0.0034421019000000037,0.0034421018999999994,-4.336808689942018e-18,-1.2599303611383536e-15
13.0,10.0,0.010191747000000015,0.010191747000000003,-1.214306433183765e-17,-1.1914605348658705e-15
13.0,11.0,0.004118922200000012,0.004118922200000005,-6.938893903907228e-18,-1.6846382541304637e-15
13.0,12.0,0.0018468170000000025,0.0018468170000000002,-2.3852447794681098e-18,-1.2915436556345899e-15
13.0,13.0,0.892027080000001,0.892027079999998,-2.9976021664879227e-15,-3.3604385266957584e-15
13.0,14.0,0.016539972,0.016539971999999976,-2.42861286636753e-17,-1.4683294907437146e-15
13.0,15.0,0.00960777980000003,0.009607779800000016,-1.3877787807814457e-17,-1.4444323347017605e-15
13.0,16.0,0.010799044999999985,0.010799044999999969,-1.5612511283791264e-17,-1.445730736726376e-15
13.0,17.0,0.003198184299999999,0.0031981842999999946,-4.336808689942018e-18,-1.356022131039171e-15
13.0,18.0,0.0027349121000000047,0.002734912100000001,-3.903127820947816e-18,-1.4271492750892467e-15
13.0,19.0,0.004992182800000006,0.0049921828,-6.071532165918825e-18,-1.2162079012649172e-15
13.0,20.0,0.0091934819,0.009193481899999988,-1.214306433183765e-17,-1.3208340935372537e-15
14.0,1.0,0.003805567300000007,0.003805567300000169,1.6176296413483726e-16,4.250692508705258e-14
14.0,2.0,0.0012000337000000036,0.0012000336999999956,-8.023096076392733e-18,-6.685725639532214e-15
14.0,3.0,0.0027596117000000036,0.0027596116999999832,-2.0383000842727483e-17,-7.386184383378088e-15
14.0,4.0,0.0030404029000000005,0.0030404028999999814,-1.9081958235744878e-17,-6.2761281525369136e-15
14.0,5.0,0.0009125645200000024,0.0009125645200000411,3.870601755773251e-17,4.241455448841295e-14
14.0,6.0,0.0073214318000000105,0.007321431800000331,3.209238430557093e-16,4.383348118543e-14
14.0,7.0,0.0015965373000000021,0.0015965372999999917,-1.0408340855860843e-17,-6.519322070245918e-15
14.0,8.0,0.001258366000000002,0.0012583659999999936,-8.456776945386935e-18,-6.720442975562691e-15
14.0,9.0,0.001999456900000003,0.00199945689999999,-1.3010426069826053e-17,-6.506980005333465e-15
14.0,10.0,0.005559757800000008,0.005559757800000224,2.1597307275911248e-16,3.8845770000828485e-14
14.0,11.0,0.005037286299999995,0.005037286300000148,1.5352302762394743e-16,3.047732816456106e-14
14.0,12.0,0.0010840223000000012,0.001084022299999994,-7.15573433840433e-18,-6.601095142050418e-15
