o,d,data_share,predicted_share,abs_residual,rel_residual
2.0,6.0,0.0014890431000000026,0.0014890431000002596,2.5695591487906455e-16,1.7256445758961852e-13
2.0,7.0,0.011685657000000016,0.011685657000002047,2.031361190368841e-15,1.7383371686922166e-13
2.0,8.0,0.01925095500000006,0.019250955000003404,3.344546861683284e-15,1.737340750982626e-13
2.0,9.0,0.011144332000000031,0.011144332000001969,1.9376861226660935e-15,1.7387189493870858e-13
2.0,10.0,0.0019942615000000056,0.0019942615000002077,2.0209528495129803e-16,1.0133840770194755e-13
2.0,11.0,0.0018141795,0.0018141795000003065,3.0661237437890065e-16,1.690088408445254e-13
2.0,12.0,0.012993298999999982,0.012993299000002241,2.258609965721803e-15,1.7382883020869496e-13
2.0,13.0,0.0015887098000000024,0.0015887098000002776,2.7517051137682103e-16,1.732037602945614e-13
2.0,14.0,0.0027614608000000006,0.002761460800000088,8.760353553682876e-17,3.172362089544372e-14
2.0,15.0,0.0025841652000000077,0.002584165200000188,1.8041124150158794e-16,6.981412856329285e-14
2.0,16.0,0.011603927999999984,0.011603928000002001,2.0174834025610267e-15,1.7386210967191708e-13
2.0,17.0,0.006108636500000007,0.00610863649999992,-8.760353553682876e-17,-1.4340931161451275e-14
2.0,18.0,0.006044130800000018,0.0060441308000004045,3.86843335142828e-16,6.400313757981989e-14
2.0,19.0,0.001954531800000003,0.0019545318000003423,3.391384395534658e-16,1.7351390218028955e-13
2.0,20.0,0.008380525700000013,0.008380525700001466,1.4536982728685643e-15,1.7346146589211725e-13
3.0,1.0,0.0003235971400000005,0.0003235971399999983,-2.168404344971009e-18,-6.700937916110771e-15
3.0,2.0,0.001035206100000003,0.0010352060999999958,-7.15573433840433e-18,-6.912376519423822e-15
3.0,3.0,0.9115359799999984,0.9115359799999905,-7.882583474838611e-15,-8.647583472062864e-15
3.0,4.0,0.001304173800000006,0.001304173799999997,-8.890457814381136e-18,-6.816927172115477e-15
3.0,5.0,0.0012331516000000018,0.0012331515999999929,-8.890457814381136e-18,-7.209541644661632e-15
3.0,6.0,0.0018845525000000057,0.0018845524999999922,-1.3444106938820255e-17,-7.133845800963473e-15
3.0,7.0,0.0015447132,0.001544713199999989,-1.0842021724855044e-17,-7.0187926955340605e-15
3.0,8.0,0.0018911380000000003,0.0018911379999999869,-1.3444106938820255e-17,-7.109003646915377e-15
3.0,9.0,0.0008275409900000004,0.0008275409899999947,-5.637851296924623e-18,-6.8127758806541055e-15
3.0,10.0,0.0018486914000000083,0.001848691399999995,-1.3444106938820255e-17,-7.272228852700995e-15
3.0,11.0,0.0014053869999999997,0.0014053869999999895,-1.0191500421363742e-17,-7.251739500481891e-15
3.0,12.0,0.0013176847000000054,0.001317684699999996,-9.324138683375338e-18,-7.076153106562822e-15
3.0,13.0,0.0011822248000000037,0.0011822247999999957,-8.023096076392733e-18,-6.786438650578729e-15
3.0,14.0,0.0012275035,0.00122750349999999,-9.974659986866641e-18,-8.125972746201245e-15
3.0,15.0,0.0026105270000000074,0.0026105269999999897,-1.7780915628762273e-17,-6.811236056459949e-15
3.0,16.0,0.0034007514000000054,0.003400751399999982,-2.3418766925686896e-17,-6.886350741688104e-15
3.0,17.0,0.0013587975000000044,0.001358797499999995,-9.324138683375338e-18,-6.862051691569426e-15
3.0,18.0,0.0010830314000000014,0.0010830313999999933,-8.023096076392733e-18,-7.407999506194116e-15
3.0,19.0,0.0011510564000000018,0.0011510563999999938,-8.023096076392733e-18,-6.970202395288989e-15
3.0,20.0,0.0029836074000000046,0.002983607399999983,-2.168404344971009e-17,-7.267726795995363e-15
4.0,1.0,0.001218857600000002,0.0012188575999999944,-7.589415207398531e-18,-6.22666274337422e-15
4.0,2.0,0.0017719594000000052,0.0017719593999999947,-1.0408340855860843e-17,-5.873916104319778e-15
