gamma_target,direction_id,h,ad_slope,fixed_dual_fd_slope,boundary_slope,full_profile_slope,fd_minus_profile,boundary_minus_profile,winner_switch_count,statusp,statusm
0.9609650007465946,random_1,0.03,5.206778659283683e-5,0.0002955514170595415,0.0003247544889426031,0.0002980231078402012,-2.471690780659708e-6,2.6731381102401914e-5,568,0,0
0.9609650007465946,random_1,0.1,5.206778659283683e-5,0.0003238335194939575,0.0003247544889426031,0.00021713711603655748,0.00010669640345740001,0.00010761737290604563,1968,0,0
0.9609650007465946,random_2,0.03,0.00011581522700122205,0.00048246128216826196,0.00046614328943438377,0.0004662009891819812,1.6260292986280782e-5,-5.7699747597406755e-8,400,0,0
0.9609650007465946,random_2,0.1,0.00011581522700122205,0.0004678737158694967,0.00046614328943438377,0.00039482886476657704,7.304485110291967e-5,7.131442466780673e-5,1340,0,0
0.9609650007465946,random_3,0.03,0.0002316170870247942,0.001042390916327745,0.001042616722925922,0.0011059602635210496,-6.356934719330457e-5,-6.334354059512768e-5,665,0,0
0.9609650007465946,random_3,0.1,0.0002316170870247942,0.0010499179865820505,0.001042616722925922,0.0014697012718000314,-0.0004197832852179809,-0.00042708454887410946,2182,0,0
0.9609650007465946,random_4,0.03,-6.360042634869744e-5,0.0003089006957135189,0.00030266704349985325,0.00030851935723511615,3.813384784027312e-7,-5.852313735262905e-6,770,0,0
0.9609650007465946,random_4,0.1,-6.360042634869744e-5,0.0003091481880639275,0.00030266704349985325,3.718558175198764e-5,0.0002719626063119399,0.0002654814617478656,2548,0,0
0.9609650007465946,random_5,0.03,9.579242461178816e-6,1.0068642095569474e-5,-1.3990147003513324e-5,3.791892485971782e-5,-2.7850282764148345e-5,-5.1909071863231146e-5,501,0,0
0.9609650007465946,random_5,0.1,9.579242461178816e-6,-1.1298967787973912e-5,-1.3990147003513324e-5,0.0005145561884878645,-0.0005258551562758384,-0.0005285463354913778,1794,0,0
