call,norm_gradient,norm_step
116,3.2723149123985454e12,0.13828676504706133
117,3.296919716050229e12,0.06914338252353067
118,3.205122404929629e12,0.03457169126176503
119,3.0910419673472803e12,0.01728584563088272
120,3.0021951985076465e12,0.008642922815441358
121,3.0178534465591934e12,0.004321461407721058
122,3.0179435507440454e12,0.0021607307038598775
123,3.017496109616415e12,0.0010803653519304516
124,2.996913196499743e12,0.0005401826759647124
125,2.9969244100943354e12,0.0002700913379827632
126,2.9879790215969673e12,0.0002448680498002675
127,2.987981161900994e12,1.5026943343480293e-5
128,2.987982232065945e12,7.51347167313664e-6
129,2.987982767152156e12,3.7567358386529105e-6
130,2.9879830346962173e12,1.8783679239367423e-6
131,2.808421724938021e12,9.391839716422433e-7
132,3.47195640350127e12,0.23891613638317358
133,3.2392440561842734e12,0.11945806819158654
134,3.3128960924313745e12,0.059729034095793596
135,3.148529504364612e12,0.029864517047896694
136,3.090728651229785e12,0.01493225852394837
137,3.00147472408381e12,0.007466129261974133
138,3.017492425003952e12,0.003733064630987297
139,2.9941601248785337e12,0.0018665323154936054
140,3.0174057588343984e12,0.0009332661577466668
141,3.0174735744830034e12,0.00046663307887309685
142,2.996901760484534e12,0.00023331653943688894
143,2.987982231622457e12,0.00022674188226675442
144,2.987982699820994e12,3.28713182759753e-6
145,2.987982933921031e12,1.6435659150411285e-6
146,2.9879830509709204e12,8.217829597592847e-7
147,2.987983109495937e12,4.108914844420745e-7
148,2.98798313875858e12,2.05445751021318e-7
149,2.808421678005648e12,1.0272289357152064e-7
150,3.448038969155966e12,0.30775632759220295
151,3.415456821698801e12,0.15387816379610156
152,3.2358049166971035e12,0.07693908189805075
153,3.208162546222623e12,0.03846954094902551
154,3.0820333372586196e12,0.01923477047451249
155,2.999154457225323e12,0.009617385237256217
156,3.0163318945687017e12,0.004808692618628169
157,3.0171822032031577e12,0.002404346309314365
158,3.0171158103815737e12,0.0012021731546567177
159,3.0173285743700405e12,0.0006010865773289043
160,3.0174349829607314e12,0.00030054328866400504
161,2.9879830508375605e12,0.00029982411419930623
162,2.9879831020471885e12,3.595299000185135e-7
163,2.9879831276516924e12,1.7976495127610469e-7
164,2.987983140454109e12,8.988247724790262e-8
165,2.9879831468552466e12,4.494124228942147e-8
166,2.8084216671715737e12,2.2470628152977244e-8
167,5.5626001357126125e13,4.544660790322446
168,5.457163783967837e12,2.272330395161223
169,3.8958426706377456e12,1.1361651975806113
170,3.55155475876161e12,0.5680825987903059
171,3.3536513148926543e12,0.28404129939515305
172,3.1421069599560576e12,0.14202064969757636
173,3.2424862358964023e12,0.07101032484878832
174,3.0891247131779663e12,0.03550516242439407
175,3.0560050966472656e12,0.01775258121219676
176,3.0400242134728384e12,0.008876290606098878
177,3.016144528427818e12,0.00443814530304906
178,2.987983111906356e12,0.004438074343626173
179,2.9879831309682925e12,8.109739784332002e-8
180,2.9879831404991504e12,4.0548698875203236e-8
181,2.98798314526446e12,2.027434984943111e-8
182,2.9879831476470767e12,1.013717526443916e-8
183,2.808421664956737e12,5.068589261656637e-9
184,3.49744804381667e12,0.2458034214811724
185,3.2294803702468677e12,0.12290171074058635
186,3.30683983022435e12,0.06145085537029318
187,3.151815042286185e12,0.030725427685146262
188,3.09237069734578e12,0.01536271384257306
189,3.0022883160288813e12,0.007681356921286888
190,3.0179000462586436e12,0.0038406784606433374
191,3.017966744703617e12,0.0019203392303215622
192,3.017507658184669e12,0.0009601696151612409
