g,start_id,start_kind,knitro_status,n_eval,wall,best_Delta,best_gravity,best_kkt,aod1,aod2,aod3,aod4,aod5,aod6,aod7,aod8,aod9,aod10,aod11,aod12,aod13,aod14,aod15,aod16,zf1,zf2,zf3,zf4,zf5,zf6,zf7,zf8,zf9,zf10,zf11,zf12,zf13,zf14,zf15
0.9570543833857178,5,incumbent+1.5r,0,1,0.06572103500366211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9570543833857178,6,calib+0.5r,-401,129,18.018499851226807,0.003908445536309224,-4.6349642873755315e-18,1.8762769116165147e-17,1.4092798140617728,1.3487764871439203,1.4261949645873537,1.2282201489673494,3.02293794843443,2.8228270964508404,3.1951206295656673,2.764789225383527,2.298538603368011,2.164602726282218,2.2406655426484776,1.9637225238804519,4.378426187712049,4.2142013591213185,4.553199102369996,3.975720856519359,0.343078803733604,0.29919787568758827,0.35501003395610253,0.20556608806059423,1.1062291891011817,1.037738899237917,1.1616248428493716,1.016964402550969,0.832273531149437,0.7722368463635717,0.806772938990143,0.6748419188312238,1.4766893419442582,1.4384600976104414,1.5158300853262354
0.9570543833857178,7,calib+1.5r,0,1,0.21682214736938477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9570543833857178,8,uniform[-2,2]#1,0,1,0.2178499698638916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9570543833857178,9,uniform[-2,2]#2,0,1,0.18124985694885254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.96,1,continuation,-103,119,14.930438041687012,9.794971619134273e-5,-7.291259609965017e-18,8.15685297084201e-14,1.3801618846344732,1.29834162044869,1.3322459192897484,1.4122030876938496,2.9469968158096154,2.862382429078383,2.7515222123672496,2.8949754261502023,2.2314642718512556,2.0645740170283755,2.114444798386489,2.234672152377308,4.440426163785733,4.093032439722823,3.6375731529596496,4.125495115806079,0.32220079999524237,0.2610877735215407,0.2868661791686699,0.34515095854004296,1.0807866232696042,1.0516542952258017,1.0121542903061889,1.0629766226124908,0.8026579941372588,0.7249239179795457,0.748792271364279,0.8040945293314402,1.4907503546727003,1.409286123137989,1.291316743074677
0.96,2,incumbent,-401,299,18.098896980285645,0.00010176947891754223,-8.117963766485214e-18,4.991058677461524e-13,1.388279095650954,1.300828856417529,1.3287511289442198,1.357308581184047,2.9845822557082546,2.8588772969581067,2.7223785149383177,2.8455532938933548,2.2459556142350334,2.0739158918570055,2.1070767733697533,2.1580610818091355,4.721819965574327,4.051623437853366,3.60426323282728,4.080312872307185,0.32806491942955446,0.26300164315816815,0.2842395003024234,0.3055037545474664,1.0934597892145226,1.0504289942513103,1.0015059522171719,1.045757528069752,0.8091310939816339,0.7294385553963018,0.7453015714480987,0.7692101712588795,1.5521943112050784,1.3991176496526925,1.28211737615414
0.96,3,calib,-103,317,13.865164041519165,9.353512908100032e-5,-4.8382521947165635e-18,8.669731599297848e-15,1.3876240381934954,1.3067814801770856,1.3395374019199557,1.383016097553308,2.9651613926302063,2.8653589152481174,2.774307121322777,2.8765189640113147,2.2478737516780574,2.0785928395762747,2.122148337455192,2.2076498330465935,4.538150586164474,4.097923375401332,3.6648989230407714,4.108162714071074,0.3275929595390011,0.2675672287566039,0.29232433191203855,0.32426669220512594,1.0869314635585778,1.0526936181486548,1.0204010300118462,1.0565808700376382,0.8099847701688352,0.7316911453362087,0.7524289422986254,0.7919285257323988,1.5125195691840163,1.4104803515943942,1.298800755978982
0.96,4,incumbent+0.5r,0,1,0.02354717254638672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.96,5,incumbent+1.5r,0,1,0.021585941314697266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.96,6,calib+0.5r,0,1,0.03151202201843262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.96,7,calib+1.5r,0,1,0.017995119094848633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.96,8,uniform[-2,2]#1,0,1,0.021165847778320312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.96,9,uniform[-2,2]#2,0,1,0.017741918563842773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.965,1,continuation,-401,404,18.05485987663269,0.0032979340631693306,-2.0159384144652348e-18,1.8501422616168382e-14,1.454444842140977,1.344245523130798,1.3840695013767956,1.3833180049716827,3.116334591578471,3.0092497752784118,2.818241654756318,2.742399563346459,2.3586941039913274,2.124915423908833,2.1947913057738906,2.169945627533774,4.957671575546057,4.122114181557518,3.943469274770783,4.129805780278896,0.3746242760209065,0.2958329063177253,0.3250280736924088,0.3244849647697434,1.1366575007991875,1.1016908036007622,1.03611316379426,1.0088332901981703,0.8581081201188634,0.7537320010708284,0.7860869649108436,0.7747021108024016,1.6009361901010872,1.4163661826080303,1.3720608624652877
