radius,dir_idx,sign,gp,Delta,feasible,improved
0.0001,21,1.0,0.9967443844997858,1.0010702643753076,false,false
0.0001,21,-1.0,0.9967339643349099,0.9989339129013131,true,false
0.0001,22,1.0,0.9967578451919361,1.0039142013589515,false,false
0.0001,22,-1.0,0.9967205036427595,0.9961191385010448,true,false
0.0001,23,1.0,0.99670716914203,0.9926847555798142,true,false
0.0001,23,-1.0,0.9967711796926657,1.0074303383731804,false,false
0.0001,24,1.0,0.9967315768844924,0.9980289134497402,true,false
0.0001,24,-1.0,0.9967467719502032,1.001980955296229,false,false
0.0001,25,1.0,0.9967391718725945,1.0001284742126129,false,false
0.0001,25,-1.0,0.9967391769621011,0.9998732832404804,true,true
0.0001,26,1.0,0.9967516235214298,1.0032929686173404,false,false
0.0001,26,-1.0,0.9967267253132659,0.9967311047682833,true,false
0.0001,27,1.0,0.9967477073426156,1.0022179714968429,false,false
0.0001,27,-1.0,0.99673064149208,0.9977940118091103,true,false
0.0001,28,1.0,0.9967874789102729,1.0114342951055995,false,false
0.0001,28,-1.0,0.9966908699244228,0.9888333900051678,true,false
0.0001,29,1.0,0.9967522912219636,1.002697477386579,false,false
0.0001,29,-1.0,0.996726057612732,0.9973193021116116,true,false
0.0001,30,1.0,0.9967193049963297,0.9953340270012686,true,false
0.0001,30,-1.0,0.996759043838366,1.0047134028270137,false,false
0.0001,31,1.0,0.9967586646828558,1.0043562644803912,false,false
0.0001,31,-1.0,0.9967196841518399,0.9956848078396465,true,false
0.0001,32,1.0,0.9967574967669695,1.00433972054236,false,false
0.0001,32,-1.0,0.9967208520677262,0.9957007948168616,true,false
0.0001,33,1.0,0.9967490677741971,1.0024503416870942,false,false
0.0001,33,-1.0,0.9967292810604985,0.9975638158426967,true,false
0.0001,34,1.0,0.9967670730345524,1.0064098409612026,false,false
0.0001,34,-1.0,0.9967112758001433,0.993676422723963,true,false
0.0001,35,1.0,0.9967377817786806,0.9995404854843645,true,false
0.0001,35,-1.0,0.9967405670560151,1.0004616578002499,false,false
0.0001,36,1.0,0.9967874131969775,1.0113652643912843,false,false
0.0001,36,-1.0,0.9966909356377182,0.9888996763968969,true,false
0.001,1,1.0,0.9977391744173478,1.3084801123501668,false,false
0.001,1,-1.0,0.9957391744173478,0.8125234099799612,true,false
0.001,2,1.0,0.9967391744173478,1.0001656406554522,false,false
0.001,2,-1.0,0.9967391744173478,1.0000148758259675,false,false
0.001,3,1.0,0.9967391744173478,0.9999995311839688,true,false
0.001,3,-1.0,0.9967391744173478,1.0000046598524073,false,false
0.001,4,1.0,0.9967391744173478,0.9999822745190655,true,false
0.001,4,-1.0,0.9967391744173478,1.0001998538318586,false,false
0.001,5,1.0,0.9967391744173478,0.9999765569599236,true,false
0.001,5,-1.0,0.9967391744173478,1.0000617148474653,false,false
0.001,6,1.0,0.9967391744173478,1.00275379514401,false,false
0.001,6,-1.0,0.9967391744173478,1.002004743358486,false,false
0.001,7,1.0,0.9967391744173478,0.9970996141151277,true,false
0.001,7,-1.0,0.9967391744173478,1.0077509642634919,false,false
0.001,8,1.0,0.9967391744173478,1.002548439154349,false,false
0.001,8,-1.0,0.9967391744173478,0.9974676198528687,true,false
0.001,9,1.0,0.9967391744173478,1.0017590001562144,false,false
0.001,9,-1.0,0.9967391744173478,0.9982493525704125,true,false
0.001,10,1.0,0.9967391744173478,1.0000245108707124,false,false
0.001,10,-1.0,0.9967391744173478,0.9999923896552316,true,false
0.001,11,1.0,0.9967391744173478,1.000054770006572,false,false
0.001,11,-1.0,0.9967391744173478,0.9999812162863463,true,false
0.001,12,1.0,0.9967391744173478,1.0001472332317694,false,false
0.001,12,-1.0,0.9967391744173478,0.9999484707911793,true,false
0.001,13,1.0,0.9967391744173478,0.9999880169207434,true,false
0.001,13,-1.0,0.9967391744173478,1.000050170185477,false,false
0.001,14,1.0,0.9967391744173478,0.9999570063201952,true,false
0.001,14,-1.0,0.9967391744173478,1.0000811967411627,false,false
0.001,15,1.0,0.9967391744173478,1.000042555083231,false,false
0.001,15,-1.0,0.9967391744173478,0.9999955003991369,true,false
0.001,16,1.0,0.9967391744173478,0.9999742097369795,true,false
0.001,16,-1.0,0.9967391744173478,1.0000638972789089,false,false
0.001,17,1.0,0.9964525871571928,0.934608705752283,true,false
0.001,17,-1.0,0.9970257616775029,1.075846366760516,false,false
0.001,18,1.0,0.9967198499647687,0.9976249571394998,true,false
0.001,18,-1.0,0.996758498869927,1.0024032598482298,false,false
0.001,19,1.0,0.9967666598183901,1.0039460998447665,false,false
0.001,19,-1.0,0.9967116890163056,0.9960937482098893,true,false
0.001,20,1.0,0.996720411864201,0.9932922458837311,true,false
0.001,20,-1.0,0.9967579369704946,1.0069393006261675,false,false
0.001,21,1.0,0.9967912752417275,1.0108231567333412,false,false
0.001,21,-1.0,0.9966870735929682,0.9894414253039816,true,false
0.001,22,1.0,0.9969258821632311,1.0406235343271721,false,false
0.001,22,-1.0,0.9965524666714646,0.962546533631887,true,false
0.001,23,1.0,0.9964191216641695,0.9315320661949698,true,false
0.001,23,-1.0,0.9970592271705262,1.079980708590465,false,false
0.001,24,1.0,0.9966631990887943,0.9806333533131535,true,false
0.001,24,-1.0,0.9968151497459014,1.0203020397692026,false,false
0.001,25,1.0,0.996739148969815,1.001412937569486,false,false
0.001,25,-1.0,0.9967391998648807,0.9987207806480225,true,true
