target,scramble,seed,W,m,policy,h,cplus,cminus,cmin,secant_fixed_dual,secant_reopt,boundary_p,boundary_m,leverage
0.1,held_out_1,141,80000,4,B_alpha_half_anchor25,0.00012373084539778453,23,26,23,1.1360191598935363,1.1349024519159399,false,false,1.5901957092207055
0.1,held_out_1,141,80000,4,C_target25,0.00012738802596293545,25,27,25,1.1832981479396547,1.1823237144836158,false,false,1.5901957092207055
0.1,held_out_1,141,80000,13,B_alpha_half_anchor25,0.0009100095722984232,25,24,24,0.16731386402787185,0.1673705648229725,false,false,0.3071677326761748
0.1,held_out_1,141,80000,13,C_target25,0.0009506527346308664,27,25,25,0.15979417530027246,0.15986473617156471,false,false,0.3071677326761748
0.1,held_out_1,141,80000,11,B_alpha_half_anchor25,0.00023829618957962675,23,25,23,-0.6352503203482195,-0.6379212626934117,false,false,0.760287900075816
0.1,held_out_1,141,80000,11,C_target25,0.0002525912794932055,25,27,25,-0.6415867563746053,-0.6444392891007164,false,false,0.760287900075816
0.1,held_out_1,141,80000,6,B_alpha_half_anchor25,0.0001452300313988595,23,25,23,-0.8428235566379986,-0.8429953892413755,false,false,1.1372293674543315
0.1,held_out_1,141,80000,6,C_target25,0.00015061551654288062,25,25,25,-0.8131883610726182,-0.8130267969343236,false,false,1.1372293674543315
0.1,held_out_1,141,320000,2,B_alpha_half_anchor25,0.0003765189913134865,47,64,47,-0.05601902517334916,-0.05735135127617082,false,false,0.07251655396717029
0.1,held_out_1,141,320000,2,C_target25,0.00024355949701525175,26,42,26,-0.057467167914256406,-0.05885332355289291,false,false,0.07251655396717029
0.1,held_out_1,141,320000,4,B_alpha_half_anchor25,6.186542269889226e-5,54,51,51,1.2682384741222303,1.2685232063913414,false,false,1.5901957092207055
0.1,held_out_1,141,320000,4,C_target25,3.124178456097416e-5,25,25,25,1.2284626717157798,1.2286121372540915,false,false,1.5901957092207055
0.1,held_out_1,141,320000,13,B_alpha_half_anchor25,0.0004550047861492116,50,51,50,0.15906398013384754,0.15904462820144555,false,false,0.3071677326761748
0.1,held_out_1,141,320000,13,C_target25,0.00023485065955302753,25,25,25,0.15763357755010327,0.15762519923817228,false,false,0.3071677326761748
0.1,held_out_1,141,320000,11,B_alpha_half_anchor25,0.00011914809478981337,50,50,50,-0.6503038203820848,-0.6503445826256489,false,false,0.760287900075816
0.1,held_out_1,141,320000,11,C_target25,6.5187477573993e-5,27,26,26,-0.6499000336911569,-0.6499812693080423,false,false,0.760287900075816
0.1,held_out_1,141,320000,6,B_alpha_half_anchor25,7.261501569942975e-5,55,45,45,-0.8791780542233048,-0.8786412023008051,false,false,1.1372293674543315
0.1,held_out_1,141,320000,6,C_target25,3.775416866356779e-5,28,25,25,-0.8212392904047041,-0.8210932028972086,false,false,1.1372293674543315
0.1,held_out_2,271,20000,2,B_alpha_half_anchor25,0.001506075965253946,14,13,13,-0.06125229046292733,-0.061331128019178706,false,false,0.07251655396717029
0.1,held_out_2,271,20000,2,C_target25,0.002982352881450516,26,25,25,-0.062263221037419436,-0.05836756814104959,false,false,0.07251655396717029
0.1,held_out_2,271,20000,4,B_alpha_half_anchor25,0.00024746169079556906,14,12,12,1.294182147225374,1.2990619053627863,false,false,1.5901957092207055
0.1,held_out_2,271,20000,4,C_target25,0.0004864715765156419,28,25,25,1.3553514013430752,1.3605068005662326,false,false,1.5901957092207055
0.1,held_out_2,271,20000,13,B_alpha_half_anchor25,0.0018200191445968464,11,13,11,0.16061191724640825,0.16043950940379628,false,false,0.3071677326761748
0.1,held_out_2,271,20000,13,C_target25,0.0038762758575631214,25,29,25,0.15562942939674781,0.15538329657422567,false,false,0.3071677326761748
0.1,held_out_2,271,20000,11,B_alpha_half_anchor25,0.0004765923791592535,12,13,12,-0.6678121643736439,-0.6774133223925951,false,false,0.760287900075816
0.1,held_out_2,271,20000,11,C_target25,0.000964599906626352,25,25,25,-0.6662465184914715,-0.6944006216197202,false,false,0.760287900075816
0.1,held_out_2,271,20000,6,B_alpha_half_anchor25,0.000290460062797719,13,13,13,-0.891608278744534,-0.8927709130974432,false,false,1.1372293674543315
0.1,held_out_2,271,20000,6,C_target25,0.0005878771077867834,25,25,25,-0.9488842461192205,-0.9506201962679957,false,false,1.1372293674543315
