point,direction,h,objA_registered,objB_fixed_dual_raw,objC_fd_Delta,ratio_A_vs_C,ratio_B_vs_C,switch_bp,switch_bm,switch_pm,cells_with_switches,min_dist_to_draw,link_switch_bp,link_switch_bm,link_switch_pm,Delta_base,eval_p_Delta,eval_m_Delta,eval_p_nStatus,eval_m_nStatus
mixed_Af_radius_0.002,participation_pivot_sensitive,0.0001,1.3367028525131967e9,1.3367028525131905e9,1.2866521198161821e9,1.03889997298117,1.0388999729811652,6,10,16,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010682070108846416,8.108765869214052e-5,0,0
mixed_Af_radius_0.002,participation_pivot_sensitive,0.0003,1.3292592275482926e9,1.3292592275482924e9,1.2759766316633604e9,1.0417582850365161,1.041758285036516,21,26,47,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00013602238227652475,5.9463784376723136e-5,0,0
mixed_Af_radius_0.002,participation_pivot_sensitive,0.001,1.3993601206358218e9,1.3993601206358218e9,1.3488785164937088e9,1.0374248707536209,1.0374248707536209,77,83,160,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.0002849885719351962,1.5212868636454377e-5,0,0
mixed_Af_radius_0.002,gamma,1.0e-7,2.5245448088767612e8,2.5245448088971898e8,2.524544811616453e8,0.999999998914778,0.99999999892287,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.0001002188062626231,0.00010021375717299986,0,0
mixed_Af_radius_0.002,gamma,3.0e-7,2.5245448087453848e8,2.5245448087439096e8,2.5245448100714648e8,0.9999999994747252,0.9999999994741408,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010022385611618426,0.00010020870884732383,0,0
mixed_Af_radius_0.002,gamma,1.0e-6,2.524544808710505e8,2.5245448087120897e8,2.5245448253085712e8,0.9999999934253233,0.9999999934259509,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010024153661982056,0.0001001910457233144,0,0
mixed_Af_radius_0.002,gamma,3.0e-6,2.5245448086796963e8,2.5245448086820155e8,2.5245449589703703e8,0.9999999404682125,0.9999999404691312,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.0001002921039143221,0.00010014063121678388,0,0
mixed_Af_radius_0.002,gamma,1.0e-5,5.714374143381995e8,5.714374143381603e8,5.690254424954149e8,1.0042387767974084,1.0042387767973395,0,1,1,1,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010046969119505795,9.933164031006712e-5,0,0
mixed_Af_radius_0.002,gamma,3.0e-5,1.739267953906796e9,1.739267953906794e9,1.69516229651381e9,1.0260185455302373,1.0260185455302362,1,4,5,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010162258360318845,9.145160982410559e-5,0,0
mixed_Af_radius_0.002,gamma,0.0001,1.3367028525131967e9,1.3367028525131905e9,1.2866521198161821e9,1.03889997298117,1.0388999729811652,6,10,16,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010682070108846416,8.108765869214052e-5,0,0
mixed_Af_radius_0.002,gamma,0.0003,1.3292592275482926e9,1.3292592275482924e9,1.2759766316633604e9,1.0417582850365161,1.041758285036516,21,26,47,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00013602238227652475,5.9463784376723136e-5,0,0
mixed_Af_radius_0.002,gamma,0.001,1.3993601206358218e9,1.3993601206358218e9,1.3488785164937088e9,1.0374248707536209,1.0374248707536209,77,83,160,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.0002849885719351962,1.5212868636454377e-5,0,0
mixed_Af_radius_0.002,mixed,1.0e-7,1.9462845839161444e8,1.9462628984765616e8,1.9462629012017968e8,1.0000111406913907,0.99999999859976,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021822793422324,0.00010021433540842083,0,0
