config,nStatus,terminal_reason,wall,n_fc,n_ga,n_inner_solved,n_above_cap,n_numerical_failure,dg,dlogA,dlogf,Delta,incumbent_source,cold_verified_theta,seed,delta_budget,direction,restriction
D4_seed29_delta1.0_upper_gamma_only,0,optimal,1.578786479,11,11,11,0,0,-0.10000000000000002,0.0,0.0,0.35895443386016584,cold_verified,"-0.1423873098733307;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,1.0,upper,gamma_only
D4_seed29_delta1.0_upper_gamma_technology,-400,iter_limit_feas,3.312323689,26,26,26,0,0,-0.0010109312597869277,0.00017602854336674656,0.0,5.335621946976843e-5,cold_verified,"-0.04339824113311761;0.31639015194232917;0.32513404984420213;0.32157373143186263;0.38965776656555995;0.5115774184673901;0.49716648131643604;0.4544065143707098;0.36222699323334573;0.4649944127185317;0.43285394982504644;0.39935421823213;0.5015723720058228;0.5113206905891089;0.46362471366394714;0.4255687532434899;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,1.0,upper,gamma_technology
D4_seed29_delta1.0_upper_gamma_participation,-400,iter_limit_feas,3.292047616,26,26,26,0,0,-0.0008417291168641358,0.0,0.00018370302187646544,3.7446497912762216e-5,cold_verified,"-0.04322903899019482;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.47118118099543377;-0.2804808860401442;-0.23953462163590558;-0.647510738303714;-0.7452854554938769;-0.667630082365545;-0.7663504627861992;-0.5361418852318327;-0.638299745838714;-0.2497417980728;-0.632135839443223;-0.7001847521013721;-0.11400525419331366;-0.5841087426981939",29,1.0,upper,gamma_participation
D4_seed29_delta1.0_lower_gamma_only,-200,infeasible,1.578762608,13,13,9,8,0,0.006514062101701197,0.0,0.0,0.002449828562662843,cold_verified,"-0.035873247771629486;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,1.0,lower,gamma_only
D4_seed29_delta1.0_lower_gamma_technology,-400,iter_limit_feas,3.394747732,26,26,26,0,0,0.0010760541827488299,0.00017212992769945356,0.0,6.677491357733316e-5,cold_verified,"-0.041311255690581854;0.3163908917653974;0.3251348101133473;0.3215744833758255;0.38965867771213847;0.5115786147017642;0.4971676438533525;0.4544075769209176;0.3622278402378555;0.4649955000266891;0.4328549619783492;0.39935515205216593;0.5015735448451445;0.5113218862231698;0.46362579776930274;0.4255697483616339;-0.4712226008500106;-0.280505542112967;-0.2395556782688834;-0.6475676586598301;-0.745350970876133;-0.667688771341332;-0.7664178299180029;-0.5361890155498814;-0.6383558564893839;-0.2497637519821987;-0.632191408246899;-0.7002463028418913;-0.11401527598798658;-0.5841600896113464",29,1.0,lower,gamma_technology
D4_seed29_delta1.0_lower_gamma_participation,-400,iter_limit_feas,3.371104657,26,26,26,0,0,0.0009020388317641029,0.0,0.00018085476717146347,4.818236829632279e-5,cold_verified,"-0.04148527104156658;0.31642355610118106;0.32516837717513347;0.3216076828679026;0.3896989062465908;0.5116314303045052;0.497218971661081;0.4544544901603991;0.3622652368004989;0.4650435063680411;0.43289965011631926;0.39939638165492336;0.5016253275200426;0.5113746753211489;0.46367366270198707;0.4256136843709238;-0.4711818231966043;-0.28048126832441317;-0.2395349481120481;-0.6475116208350434;-0.745286471288249;-0.6676309923187386;-0.7663515072913367;-0.5361426159718541;-0.6383006158158278;-0.2497421384609172;-0.6321367010191781;-0.700185706425283;-0.11400540957793139;-0.5841095388151303",29,1.0,lower,gamma_participation
D4_seed49_delta0.001_upper_gamma_only,-200,infeasible,2.708567655,14,14,10,8,0,-0.0015345660641828823,0.0,0.0,0.00017499861164342815,cold_verified,"-0.06098902933834289;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,0.001,upper,gamma_only
D4_seed49_delta0.001_upper_gamma_technology,-400,iter_limit_feas,6.360924635,26,26,26,0,0,-0.000922668357431114,0.0001795299604252161,0.0,5.476625664018591e-5,cold_verified,"-0.06037713163159112;0.30501552909563345;0.35458638913333645;0.35871765659056276;0.4830849224006014;0.4689587892679138;0.47614464265756323;0.43037663376780666;0.463887588911378;0.5139046285999065;0.4276889866015098;0.44595106730161055;0.6489952558049534;0.46156473015854516;0.5810699028988175;0.5503795306465038;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,0.001,upper,gamma_technology
D4_seed49_delta0.001_upper_gamma_participation,-400,iter_limit_feas,6.293078046,26,26,26,0,0,-0.0008328111778054814,0.0,0.00018409227009057416,4.30314151493064e-5,cold_verified,"-0.06028727445196549;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866234872051374;-0.7735977709370149;-0.3143916040484135;-0.5313957727752956;-0.4040982576475017;-0.6497544569101654;-0.6947070501203164;-0.30167742172921863;-0.5169815169652867;-0.554646898251036;-0.37688415877185527;-0.8118103366124166;-0.3341286320802436;-0.4731871844551247",49,0.001,upper,gamma_participation
D4_seed49_delta0.001_lower_gamma_only,-200,infeasible,2.495906126,13,13,9,8,0,0.0016273744813538465,0.0,0.0,0.0002496181738472215,cold_verified,"-0.05782708879280616;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866842900403047;-0.7736662756395609;-0.31441944448969633;-0.5314428296706433;-0.4041340419167686;-0.6498119948678365;-0.6947685687823564;-0.3017041362865982;-0.517027297429466;-0.5546960141122886;-0.37691753314050125;-0.811882225167067;-0.3341582203022017;-0.47322908678284265",49,0.001,lower,gamma_only
