target,scramble,W,direction,cross_target,t,pred_B,pred_C,secant_block_fixed_dual,secant_reopt,one_sided,lfd_ok_p,lfd_ok_m
0.1,tuning,1280000,dense_random_1,c400,9.546937921788808e-5,0.08466325090921392,0.009201246751255065,0.02038029956336765,0.020277541522781106,-0.009411507945542665,true,true
0.1,tuning,1280000,dense_random_2,c25,6.017469634450368e-6,0.19029008828188881,0.1783159341105088,0.1334081621259426,0.13345041128709886,0.18282928089118217,true,true
0.1,tuning,1280000,dense_random_2,c100,2.2482037128389673e-5,0.19029008828188881,0.1783159341105088,0.24157781389090163,0.24155611585580636,0.12850858656622804,true,true
0.1,tuning,1280000,dense_random_2,c400,9.125112132571175e-5,0.19029008828188881,0.1783159341105088,0.2636337398963924,0.2635238877889292,0.21693920421768542,true,true
0.1,tuning,1280000,gradient_descent,c25,3.244841058710664e-6,-2.2137964581768474,-2.486116420310045,-2.504301632008325,-2.5042291365755176,-2.64503155255393,true,true
0.1,tuning,1280000,gradient_descent,c100,1.3170309409246416e-5,-2.2137964581768474,-2.486116420310045,-2.539641849701895,-2.5395892202615933,-2.8091405075945795,true,true
0.1,tuning,1280000,gradient_descent,c400,5.071093954820892e-5,-2.2137964581768474,-2.486116420310045,-2.837744082746405,-2.8377349796542655,-2.8723010132493294,true,true
0.1,tuning,1280000,pivot_leverage_weighted,c25,5.334309427757656e-6,-0.21608955463940785,-0.32845561595779144,-0.2174383186457896,-0.21758709473185406,-0.30780325256674196,true,true
0.1,tuning,1280000,pivot_leverage_weighted,c100,1.8345061060597765e-5,-0.21608955463940785,-0.32845561595779144,-0.33643270073202,-0.33642047460694824,-0.39480342779976413,true,true
0.1,tuning,1280000,pivot_leverage_weighted,c400,7.33465596583487e-5,-0.21608955463940785,-0.32845561595779144,-0.3938047557315401,-0.3938252449597698,-0.4441825171578981,true,true
0.1,tuning,1280000,leverage_weighted_random_2,c25,4.9847039647645365e-6,0.7815843572792172,0.9859318878093188,0.9495515882991798,0.9495930356853207,0.9513912762992577,true,true
0.1,tuning,1280000,leverage_weighted_random_2,c100,2.0232144607887922e-5,0.7815843572792172,0.9859318878093188,1.0471523978554416,1.0471423923084313,0.9554648715890242,true,true
0.1,tuning,1280000,leverage_weighted_random_2,c400,7.908417025929587e-5,0.7815843572792172,0.9859318878093188,1.1367959340594538,1.136803176529816,1.102020088138216,true,true
0.1,tuning,1280000,dense_random_3,c25,6.154982914851864e-6,-0.19773925849839888,-0.14565135710464575,-0.25728120730579956,-0.25724037846791475,-0.328932651828504,true,true
0.1,tuning,1280000,dense_random_3,c100,2.2313344942398905e-5,-0.19773925849839888,-0.14565135710464575,-0.1210220868267657,-0.12096140511909978,-0.21475511847234074,true,true
0.1,tuning,1280000,dense_random_3,c400,8.921240875617158e-5,-0.19773925849839888,-0.14565135710464575,-0.1589622157471682,-0.15889038339100042,-0.18295640884777817,true,true
0.1,held_out_3,80000,sparse_random_1,c25,9.838933480846404e-5,-1.225648640043226,-1.225648640043226,-1.2013230580293193,-1.2012852871425552,-1.3988668001199005,true,true
0.1,held_out_3,80000,sparse_random_1,c100,0.0003620994080153226,-1.225648640043226,-1.225648640043226,-1.2500488038300106,-1.2483466667617904,-1.3253842127486863,true,true
0.1,held_out_3,80000,sparse_random_1,c400,0.001469705650963904,-1.225648640043226,-1.225648640043226,-1.3251512526206441,-1.3309933569524797,-1.2780752445450023,true,true
0.1,held_out_3,80000,origin_block,c25,0.0001545990821667266,-0.06700435072896155,-0.06700435072896155,-0.05758610835049489,-0.0561736912919305,-0.01625957897738705,true,true
0.1,held_out_3,80000,origin_block,c100,0.0005438270591842945,-0.06700435072896155,-0.06700435072896155,-0.10139137184974331,-0.10228514323182443,-0.08833247539465768,true,true
0.1,held_out_3,80000,origin_block,c400,0.002174309679783942,-0.06700435072896155,-0.06700435072896155,-0.10148665912622488,-0.09858155318488195,-0.04212932930896836,true,true
0.1,held_out_3,80000,sparse_random_2,c25,0.0007185998571236777,0.16629246290663902,0.16629246290663902,0.1403522374860662,0.1408731496799749,0.1597377637330584,true,true
0.1,held_out_3,80000,sparse_random_2,c100,0.002585556143372184,0.16629246290663902,0.16629246290663902,0.16314158217006156,0.16361469742869597,0.17775450140500954,true,true
0.1,held_out_3,80000,sparse_random_2,c400,0.010494373618632749,0.16629246290663902,0.16629246290663902,0.17147492895818028,0.16938008686899267,0.19207437742217293,true,true
0.1,held_out_3,80000,dest_block,c25,0.00014338281309760463,-0.020222989387497815,-0.020222989387497815,0.014904687901042404,0.014265281978429578,0.13782173793096347,true,true
0.1,held_out_3,80000,dest_block,c100,0.0005819687245987808,-0.020222989387497815,-0.020222989387497815,-0.03433165730282805,-0.03555322839003549,-0.034455534118576006,true,true
0.1,held_out_3,80000,dest_block,c400,0.0022748213100360916,-0.020222989387497815,-0.020222989387497815,-0.016253908331849108,-0.018300432423488368,0.027051212488348877,true,true
0.1,held_out_3,80000,mixed_block_random,c25,0.00011524938983826006,-0.27669590010549017,-0.27669590010549017,-0.4464126958196534,-0.4471226146299239,-0.5476954682187366,true,true
0.1,held_out_3,80000,mixed_block_random,c100,0.00039635066589458634,-0.27669590010549017,-0.27669590010549017,-0.2882994805140487,-0.28944962081024184,-0.2442637276697419,true,true
0.1,held_out_3,80000,mixed_block_random,c400,0.0015609831517966564,-0.27669590010549017,-0.27669590010549017,-0.2808072841910461,-0.28207133526355194,-0.2674936754003711,true,true
0.1,held_out_3,80000,dense_random_1,c25,9.988263416200634e-5,0.036380068887883185,0.036380068887883185,0.11564182045295822,0.11654004119644577,0.384715932043383,true,true
0.1,held_out_3,80000,dense_random_1,c100,0.00039337668004682595,0.036380068887883185,0.036380068887883185,0.013487936259060997,0.016449314169958543,0.0016024231596134598,true,true
0.1,held_out_3,80000,dense_random_1,c400,0.001537645610180688,0.036380068887883185,0.036380068887883185,0.036244594190917356,0.04712786542542333,0.11007308352125954,true,true
0.1,held_out_3,80000,dense_random_2,c25,9.91331727229436e-5,0.28209323271021236,0.28209323271021236,0.4324844542573713,0.43277134720502203,0.23397268411306238,true,true
0.1,held_out_3,80000,dense_random_2,c100,0.00038170221920875834,0.28209323271021236,0.28209323271021236,0.18789266362867246,0.18863091632466092,0.2649774774205653,true,true
0.1,held_out_3,80000,dense_random_2,c400,0.0014586778309488304,0.28209323271021236,0.28209323271021236,0.267825439150899,0.270497101422534,0.311591645082329,true,true
0.1,held_out_3,80000,gradient_descent,c25,6.214671196636551e-5,-2.678208193255732,-2.678208193255732,-2.345001006952867,-2.346824252277806,-2.3083342639872733,true,true
0.1,held_out_3,80000,gradient_descent,c100,0.00019971941277773973,-2.678208193255732,-2.678208193255732,-2.8447867393138977,-2.8455184888242013,-2.9143408281590766,true,true
0.1,held_out_3,80000,gradient_descent,c400,0.0008045477937281791,-2.678208193255732,-2.678208193255732,-2.8510122054860636,-2.848640542620153,-2.8140610346624877,true,true
0.1,held_out_3,80000,pivot_leverage_weighted,c25,8.721924465640162e-5,-0.4128121564146366,-0.4128121564146366,-0.5738321813107876,-0.5719110311785408,-0.6374031242099365,true,true
0.1,held_out_3,80000,pivot_leverage_weighted,c100,0.00030222073682292794,-0.4128121564146366,-0.4128121564146366,-0.40613910055107066,-0.4020979281082239,-0.31174862101453554,true,true
0.1,held_out_3,80000,pivot_leverage_weighted,c400,0.0011724677899366577,-0.4128121564146366,-0.4128121564146366,-0.39619443935525395,-0.3903146945451415,-0.32945730868124784,true,true
0.1,held_out_3,80000,leverage_weighted_random_2,c25,8.921240875617158e-5,1.0859040672439386,1.0859040672439386,1.1240189497131656,1.122535971554167,0.7924659673303741,true,true
0.1,held_out_3,80000,leverage_weighted_random_2,c100,0.00032099045002294025,1.0859040672439386,1.0859040672439386,1.0677236518413138,1.0659538546853293,1.0538270945746526,true,true
0.1,held_out_3,80000,leverage_weighted_random_2,c400,0.0012546995829263317,1.0859040672439386,1.0859040672439386,1.122320466777863,1.1251890320885745,1.1510017486821824,true,true
0.1,held_out_3,80000,dense_random_3,c25,9.838933480846404e-5,-0.12117797992873311,-0.12117797992873311,-0.12913320499988915,-0.12956318342034392,0.0008367761813491939,true,true
0.1,held_out_3,80000,dense_random_3,c100,0.00035938242376984544,-0.12117797992873311,-0.12117797992873311,-0.19534506552174263,-0.19502569700966862,-0.15564789087883713,true,true
0.1,held_out_3,80000,dense_random_3,c400,0.001447732757308315,-0.12117797992873311,-0.12117797992873311,-0.15508893082410127,-0.15463362452515445,-0.13911949072617644,true,true
0.1,held_out_3,320000,sparse_random_1,c25,2.352131236327174e-5,-1.045490941552813,-1.3166630684000022,-1.3515728546498877,-1.3513029733278112,-1.2353949073235269,true,true
0.1,held_out_3,320000,sparse_random_1,c100,9.475303228796018e-5,-1.045490941552813,-1.3166630684000022,-1.2816097123136299,-1.2809126807126152,-1.3179045538924323,true,true
0.1,held_out_3,320000,sparse_random_1,c400,0.0003620994080153226,-1.045490941552813,-1.3166630684000022,-1.29899831639565,-1.2985333409313977,-1.2954239583713902,true,true
0.1,held_out_3,320000,origin_block,c25,3.351179397696243e-5,-0.0800358981148342,-0.09294083842913328,-0.1363736218282026,-0.13639724673991965,-0.12477793454443269,true,true
0.1,held_out_3,320000,origin_block,c100,0.0001401793856868365,-0.0800358981148342,-0.09294083842913328,-0.11954899465835707,-0.11936699068854471,-0.1090209014632964,true,true
0.1,held_out_3,320000,origin_block,c400,0.0005438270591842945,-0.0800358981148342,-0.09294083842913328,-0.11131510194747006,-0.11147253735837177,-0.09616257209560618,true,true
0.1,held_out_3,320000,sparse_random_2,c25,0.00016544198960541598,0.17857475308195217,0.1806367963699177,0.19168555370119397,0.19171931879925713,0.2390157474672139,true,true
0.1,held_out_3,320000,sparse_random_2,c100,0.0006565009352944629,0.17857475308195217,0.1806367963699177,0.16065713286157113,0.16070258292934939,0.16535825000199458,true,true
0.1,held_out_3,320000,sparse_random_2,c400,0.002585556143372184,0.17857475308195217,0.1806367963699177,0.16218745135546153,0.1623836348771017,0.16761150255341623,true,true
0.1,held_out_3,320000,dest_block,c25,3.7238434730012796e-5,-0.07051973222706197,-0.04559888991736101,0.01614155596297295,0.015914786193675947,0.10050941031657072,true,true
0.1,held_out_3,320000,dest_block,c100,0.0001466594463305112,-0.07051973222706197,-0.04559888991736101,-0.025280183430724284,-0.025531369742742286,0.029474261811180347,true,true
