point,direction,step_type,epsilon,obj_old,obj_new,improves_objective,Delta0,Delta_new,within_budget,delta_budget,status
seed29_delta0.01_upper_g-0.0588,upper,pure_objective,3.0e-5,-0.05877817444033576,-0.058808174440335766,false,0.01006046186960298,0.010077302711322914,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,pure_objective,0.0001,-0.05877817444033576,-0.058878174440335766,false,0.01006046186960298,0.010128786216703291,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_2,1.0e-6,-0.05877817444033576,-0.05877834650730612,false,0.01006046186960298,0.01006051753202971,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_2,3.0e-6,-0.05877817444033576,-0.058778690641246835,false,0.01006046186960298,0.010060628869442053,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_2,1.0e-5,-0.05877817444033576,-0.05877989511003933,false,0.01006046186960298,0.010061101229612315,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_2,3.0e-5,-0.05877817444033576,-0.05878333644944646,false,0.01006046186960298,0.010082728048294683,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_2,0.0001,-0.05877817444033576,-0.05879538113737142,false,0.01006046186960298,0.010037169814717733,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_1,1.0e-6,-0.05877817444033576,-0.058778291005304545,false,0.01006046186960298,0.010060419259500061,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_1,3.0e-6,-0.05877817444033576,-0.058778524135242115,false,0.01006046186960298,0.01006033404330412,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_1,1.0e-5,-0.05877817444033576,-0.05877934009002361,false,0.01006046186960298,0.010042886281787388,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_1,3.0e-5,-0.05877817444033576,-0.058781671389399305,false,0.01006046186960298,0.0100421382362689,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_1,0.0001,-0.05877817444033576,-0.058789830937214245,false,0.01006046186960298,0.01005322836391102,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,objective_gradient,1.0e-6,-0.05877817444033576,-0.058779174440335764,false,0.01006046186960298,0.010060721956894872,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,objective_gradient,3.0e-6,-0.05877817444033576,-0.058781174440335766,false,0.01006046186960298,0.010061242174321479,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,objective_gradient,1.0e-5,-0.05877817444033576,-0.058788174440335766,false,0.01006046186960298,0.010072094598371243,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,objective_gradient,3.0e-5,-0.05877817444033576,-0.058808174440335766,false,0.01006046186960298,0.010077302711322914,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,objective_gradient,0.0001,-0.05877817444033576,-0.058878174440335766,false,0.01006046186960298,0.010128786216703291,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_3,1.0e-6,0.03003995761504758,0.030039827164489687,false,0.010072333822915303,0.010072297765602254,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_3,3.0e-6,0.03003995761504758,0.0300395662633739,false,0.010072333822915303,0.01002056391750602,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_3,1.0e-5,0.03003995761504758,0.030038653109468644,false,0.010072333822915303,0.010020315205535037,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_3,3.0e-5,0.03003995761504758,0.030036044098310774,true,0.010072333822915303,0.009973879425622128,true,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,random_tangent_3,0.0001,0.03003995761504758,0.030026912559258226,true,0.010072333822915303,0.009938222404435523,true,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,projected_tangent,1.0e-6,0.03003995761504758,0.030039057852932573,false,0.010072333822915303,0.010072638798004017,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,projected_tangent,3.0e-6,0.03003995761504758,0.030037258328702552,false,0.010072333822915303,0.010021875810021319,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,projected_tangent,1.0e-5,0.03003995761504758,0.03003095999389748,false,0.010072333822915303,0.010031094627961574,false,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,projected_tangent,3.0e-5,0.03003995761504758,0.030012964751597284,true,0.010072333822915303,0.009998861796439506,true,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,projected_tangent,0.0001,0.03003995761504758,0.02994998140354659,true,0.010072333822915303,0.00999923100273748,true,0.01,FiniteSolved
seed29_delta0.01_lower_g-0.03,lower,pure_objective,1.0e-6,0.03003995761504758,0.03003895761504758,false,0.010072333822915303,0.010072712872735775,false,0.01,FiniteSolved
