branch,grid_index,fraction_to_theoretical_endpoint,gamma_d_prime,kappa_ratio,gains_from_trade_pct,A_hash,f_hash,classification,delta_star,certified_lower_bound,exact_infeasibility_kind,exact_infeasibility_block,policy,evaluation_cap,raw_lower_limit,solver_status,iterations,wall_seconds,warm_start_source,primal_dual_gap,normalization_residual,weighted_moment_residual,kkt_residual,primal_divergence,dual_divergence,min_slack,gravity_residual_A,gravity_residual_f,min_density_ratio,max_density_ratio,cold_replay_status
B_toward_max_gamma,31,0.60062500,0.6701757246,0.9918915651,0.81084349,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,9.58694661e-02,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.5905,previous_finite_idx30,3.080869e-15,0.000000e+00,1.598721e-14,NaN,9.586947e-02,9.586947e-02,8.141487e-03,-3.756544e-15,6.071532e-18,2.951614e-36,4.753382e+00,not_replayed
B_toward_max_gamma,32,0.64000000,0.6709860883,0.9926909883,0.73090117,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.20842011e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.6093,previous_finite_idx31,5.093148e-15,0.000000e+00,1.509903e-14,NaN,1.208420e-01,1.208420e-01,7.335853e-03,-3.756544e-15,2.099015e-16,2.042710e-51,5.472905e+00,not_replayed
B_toward_max_gamma,33,0.68062500,0.6718225198,0.9935157899,0.64842101,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.57062640e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,20,0.5965,previous_finite_idx32,1.582068e-15,0.000000e+00,1.365574e-14,NaN,1.570626e-01,1.570626e-01,6.505324e-03,-3.756544e-15,-2.038300e-16,1.514819e-82,6.920592e+00,not_replayed
B_toward_max_gamma,34,0.72250000,0.6726850512,0.9943659701,0.56340299,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,2.19136452e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,22,0.6157,previous_finite_idx33,7.022161e-15,0.000000e+00,2.131628e-14,NaN,2.191365e-01,2.191365e-01,5.649961e-03,-3.756544e-15,-2.029626e-16,1.807921e-172,9.941290e+00,not_replayed
B_toward_max_gamma,35,0.76562500,0.6735737153,0.9952415288,0.47584712,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,3.87492856e-01,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,24,0.6375,previous_finite_idx34,Inf,0.000000e+00,9.658940e-15,NaN,Inf,3.874929e-01,4.769829e-03,-3.756544e-15,9.107298e-17,0.000000e+00,2.027073e+01,not_replayed
B_toward_max_gamma,36,0.81000000,0.6744885459,0.9961424660,0.38575340,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,2.32610370e+00,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,26,0.7513,previous_finite_idx35,Inf,0.000000e+00,3.896883e-14,NaN,Inf,2.326104e+00,3.864993e-03,-3.756544e-15,-1.179612e-16,0.000000e+00,8.809483e+01,not_replayed
B_toward_max_gamma,37,0.85562500,0.6754295778,0.9970687817,0.29312183,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1341,previous_finite_idx36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
B_toward_max_gamma,38,0.90250000,0.6763968468,0.9980204760,0.19795240,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1427,previous_finite_idx36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
B_toward_max_gamma,39,0.95062500,0.6773903895,0.9989975487,0.10024513,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1616,previous_finite_idx36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
B_toward_max_gamma,40,1.00000000,0.6784102437,1.0000000000,0.00000000,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1296,previous_finite_idx36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
