point,direction,step_type,epsilon,obj_improves,predicted_obj_change,realized_obj_change,delta_finite_after_step,predicted_delta_change,realized_delta_change,new_status,Delta0
D4_calibration,lower,neg_DeltaStar_grad,1.0e-7,true,-1.0090022371837599e-8,-1.0090022373177021e-8,true,-3.6587462494893794e-9,-6.209130927174885e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,neg_DeltaStar_grad,3.0e-7,true,-3.02700671155128e-8,-3.027006711259217e-8,true,-1.0976238748468137e-8,-1.8620767063331562e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,neg_DeltaStar_grad,1.0e-6,true,-1.0090022371837599e-7,-1.0090022371789242e-7,true,-3.658746249489379e-8,-6.199192160484444e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,neg_DeltaStar_grad,3.0e-6,true,-3.0270067115512797e-7,-3.0270067115367727e-7,true,-1.0976238748468139e-7,-1.853131302552226e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,neg_DeltaStar_grad,1.0e-5,true,-1.00900223718376e-6,-1.0090022371858631e-6,true,-3.6587462494893797e-7,-8.012419961028191e-7,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,neg_DeltaStar_grad,3.0e-5,true,-3.02700671155128e-6,-3.0270067115506505e-6,true,-1.0976238748468139e-6,-6.38968596478534e-7,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,neg_DeltaStar_grad,0.0001,true,-1.00900223718376e-5,-1.0090022371837815e-5,true,-3.6587462494893794e-6,-3.159310530909202e-7,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,1.0e-8,true,-9.948965498249463e-9,-9.948965498662865e-9,true,1.3959205290467257e-26,1.6416273147206297e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,3.0e-8,true,-2.984689649474839e-8,-2.9846896495988595e-8,true,4.1877615871401764e-26,4.9254178308215076e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,1.0e-7,true,-9.948965498249461e-8,-9.948965497968976e-8,true,1.3959205290467257e-25,1.6424312849533027e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,3.0e-7,true,-2.9846896494748385e-7,-2.9846896494600816e-7,true,4.187761587140177e-25,4.932654289398783e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,1.0e-6,true,-9.948965498249462e-7,-9.948965498246531e-7,true,1.3959205290467255e-24,1.650472030155468e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,3.0e-6,true,-2.9846896494748386e-6,-2.9846896494739594e-6,true,4.187761587140177e-24,5.005023640882136e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,1.0e-5,true,-9.948965498249464e-6,-9.948965498246531e-6,true,1.3959205290467258e-23,1.7308927518359295e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,3.0e-5,true,-2.9846896494748386e-5,-2.9846896494746533e-5,true,4.187761587140177e-23,7.272182691053875e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,projected_tangent,0.0001,true,-9.948965498249463e-5,-9.948965498249307e-5,true,1.3959205290467258e-22,2.7876641962859165e-7,FiniteSolved,7.554508757038378e-6
D4_near_boundary,upper,pure_g,1.0e-8,true,-1.0e-8,-9.999999994736442e-9,true,1.7006445486108177e-7,1.3468709647579402e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,pure_g,3.0e-8,true,-3.0e-8,-3.00000000119649e-8,true,5.101933645832453e-7,4.0406146539773147e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,pure_g,1.0e-7,true,-1.0e-7,-1.0000000000287557e-7,true,1.7006445486108176e-6,1.3468735239330343e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,pure_g,3.0e-7,true,-3.0e-7,-3.000000000086267e-7,true,5.101933645832453e-6,4.040637465840824e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,pure_g,1.0e-6,true,-1.0e-6,-1.000000000001e-6,true,1.7006445486108177e-5,1.3468988669940174e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,pure_g,3.0e-6,true,-3.0e-6,-3.0000000000030003e-6,true,5.101933645832453e-5,4.040865563215146e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,pure_g,1.0e-5,true,-1.0e-5,-1.0000000000010001e-5,true,0.0001700644548610818,0.0001347152339850055,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,pure_g,3.0e-5,true,-3.0e-5,-3.0000000000002247e-5,true,0.0005101933645832454,0.0004941674546846686,FiniteSolved,0.5720613122125435
D4_near_boundary,upper,pure_g,0.0001,true,-0.0001,-9.999999999998899e-5,true,0.0017006445486108179,0.0017807774741132043,FiniteSolved,0.5720613122125435
