seed,direction,block,algorithm,delta,best_g,gamma_prime,kappa_ratio,GT,incumbent_source,dlogA,dlogf,DeltaStar,status,wall
29,lower,gamma_technology,active,0.003,-0.04231517247531595,0.9585676188292693,0.9348074973069119,0.06519250269308807,cold_verified,0.06402111612293708,0.0,0.0029991085242462925,-410,14.73671007156372
29,lower,gamma_participation,active,0.003,-0.042308873744564865,0.9585736566076223,0.9348114227156401,0.0651885772843599,cold_verified,0.0,0.07716901636775202,0.0029957090297515762,-200,3.436458110809326
29,lower,full_joint,sqp,0.003,-0.03520967658624259,0.9654029726348138,0.9392461825796696,0.06075381742033037,multistart:gamma_only_best,0.009587827804434594,0.010922348181022334,0.0029943694361148263,-200,45.143826961517334
29,lower,full_joint,cg,0.003,-0.03486904916001436,0.9657318713774414,0.9394594954720047,0.06054050452799531,multistart:gamma_only_best,0.013253521297685172,0.010597996875860492,0.002996537110911355,-400,27.100198984146118
29,lower,gamma_only,active,0.01,-0.030054592574280725,0.9703925558747395,0.9424796643398824,0.057520335660117605,cold_verified,0.0,0.0,0.009960744404605447,-200,26.907340049743652
29,lower,gamma_technology,active,0.01,-0.04225338902874308,0.9586268442700909,0.9348460018525984,0.06515399814740164,cold_verified,0.118768818407972,0.0,0.009996467662233402,-200,10.38880205154419
29,lower,gamma_participation,active,0.01,-0.042282536993997616,0.9585989026553646,0.9348278361232434,0.06517216387675662,cold_verified,0.0,0.11646059997597874,0.009992791752099292,-200,4.139804124832153
29,lower,full_joint,sqp,0.01,-0.03003995761504758,0.9704067576341557,0.9424888598190513,0.05751114018094872,multistart:gamma_only_best,0.01954355628795489,0.022773161685070473,0.009993746931160223,-101,34.86193585395813
29,lower,full_joint,cg,0.01,-0.02991193580579369,0.9705309988156009,0.9425693026711727,0.05743069732882733,multistart:gamma_only_best,0.01590678068212398,0.011187906225246819,0.00996849149670234,-202,17.120213985443115
29,lower,gamma_only,active,0.03,-0.024188470472774632,0.9761017260669194,0.946172681388929,0.05382731861107104,cold_verified,0.0,0.0,0.029850023866089995,-200,7.737030029296875
29,lower,gamma_technology,active,0.03,-0.042144357485054844,0.958731370532969,0.9349139561240832,0.06508604387591677,cold_verified,0.21188477494720334,0.0,0.029988915477146015,-200,11.770562171936035
29,lower,gamma_participation,active,0.03,-0.04224979020117383,0.9586302942090146,0.9348482447549986,0.06515175524500139,cold_verified,0.0,0.1709964521527022,0.029891559978452015,-200,1.2538349628448486
29,lower,full_joint,sqp,0.03,-0.024155293463787322,0.9761341107398679,0.9461936090734033,0.05380639092659667,multistart:gamma_only_best,0.03918328977153754,0.04573583684905458,0.029985969110058724,-101,33.1500780582428
29,lower,full_joint,cg,0.03,-0.022142397337234658,0.9781009461639817,0.9474641876974464,0.05253581230255355,multistart:gamma_only_best,0.0533433409214781,0.05051222900120162,0.02999537281780995,-400,30.089461088180542
29,lower,gamma_only,active,0.1,-0.01986120061041713,0.9803347337266134,0.9489061853821565,0.05109381461784346,cold_verified,0.0,0.0,0.09767738628836192,-200,8.457658052444458
29,lower,gamma_technology,active,0.1,-0.042046869273281405,0.9588248400958695,0.9349747201584839,0.06502527984151607,cold_verified,0.3249210932029107,0.0,0.09997062198233607,-200,9.472726106643677
29,lower,gamma_participation,active,0.1,-0.04223220172864241,0.9586471551998911,0.9348592065210479,0.06514079347895207,cold_verified,0.0,0.2019785118639003,0.09670415722469027,-200,1.1622779369354248
29,lower,full_joint,sqp,0.1,-0.0185350879704246,0.9816356303855397,0.9497454606430714,0.050254539356928585,multistart:gamma_only_best,0.14629521720071145,0.16906461454546956,0.0999976560098087,-410,25.495277881622314
29,lower,full_joint,cg,0.1,-0.008003595992842397,0.9920283475038095,0.95643708187293,0.04356291812707003,multistart:gamma_only_best,0.11607215334036247,0.11074219997759135,0.09990889381413821,-101,31.931320190429688
29,lower,gamma_only,active,0.3,-0.01887988952232072,0.9812972192424826,0.9495271699272011,0.0504728300727989,cold_verified,0.0,0.0,0.2986662429068993,-200,2.395832061767578
29,lower,gamma_technology,active,0.3,-0.04203505679334789,0.9588361662619479,0.9349820831008889,0.06501791689911107,cold_verified,0.33878999493138934,0.0,0.12664776658675608,-200,1.819849967956543
29,lower,gamma_participation,active,0.3,-0.042166488080998855,0.9587101534711628,0.934900162757165,0.06509983724283497,cold_verified,0.0,0.3192265119243577,0.295874548328226,-200,5.101730108261108
29,lower,full_joint,sqp,0.3,-0.01818118229007152,0.9819830982929765,0.9499695672885109,0.0500304327114891,multistart:continuation,0.28170615418848427,0.30273374747184784,0.2999278100123562,-400,28.71485996246338
29,lower,full_joint,cg,0.3,0.0045213026016645876,1.0045315391119116,0.9644567018955821,0.03554329810441792,multistart:gamma_only_best,0.23500945739637794,0.27460525820173015,0.2999661166439247,-410,27.717798948287964
29,lower,gamma_only,active,1.0,-0.0185586641514954,0.9816124874389843,0.9497305331797484,0.050269466820251574,cold_verified,0.0,0.0,0.8546175691893179,-200,1.4486629962921143
29,lower,gamma_technology,active,1.0,-0.04200372414329519,0.9588662096106697,0.9350016136158127,0.06499838638418731,cold_verified,0.37620609658813703,0.0,0.20764687367234527,-200,1.4504320621490479
29,lower,gamma_participation,active,1.0,-0.04216579565970036,0.958710817302722,0.9349005943204545,0.06509940567954553,cold_verified,0.0,0.3202240627898109,0.19347257614524765,-200,1.4233980178833008
29,lower,full_joint,sqp,1.0,-0.0024995352073596405,0.9975035860296779,0.9599530538598454,0.04004694614015458,multistart:pareto,0.34648753635054247,0.35628352871057034,0.9266038681330584,-200,29.34157681465149
29,lower,full_joint,cg,1.0,0.011419937458127579,1.0114853938759956,0.9689025405458482,0.031097459454151766,multistart:gamma_only_best,0.13823872954617134,0.12404972838077598,0.9974575826391346,-410,45.207541942596436
49,upper,gamma_only,active,0.0001,-0.06060442554137584,0.9411954790390636,0.9098150919831506,0.09018490801684942,cold_verified,0.0,0.0,9.396405375139492e-5,-200,9.406790018081665
49,upper,gamma_technology,active,0.0001,-0.05945741462404365,0.9422756599000583,0.9105110699428489,0.08948893005715108,cold_verified,0.005594654571088882,0.0,9.886627707372185e-5,-200,11.295103073120117
49,upper,gamma_participation,active,0.0001,-0.05946054412117351,0.9422727110556994,0.9105091703169772,0.0894908296830228,cold_verified,0.0,0.011559819133692008,9.968375655100353e-5,-410,24.678900003433228
49,upper,full_joint,sqp,0.0001,-0.06060741112651827,0.9411926690240201,0.9098132810980053,0.0901867189019947,multistart:gamma_only_best,0.004867296110669051,0.005315444746144598,9.972141652508961e-5,-200,57.40122699737549
49,upper,gamma_only,active,0.0003,-0.06147143360488548,0.9403798086169097,0.9092893659199978,0.09071063408000224,cold_verified,0.0,0.0,0.00029567995134671763,-200,8.86534595489502
49,upper,gamma_technology,active,0.0003,-0.059460460721337545,0.9422727896410922,0.9105092209411889,0.08949077905881109,cold_verified,0.011045131340212276,0.0,0.00029960905375055544,-200,4.263976812362671
49,upper,gamma_participation,active,0.0003,-0.059464764817983816,0.9422687340166663,0.9105066083318144,0.0894933916681856,cold_verified,0.0,0.020209003088672454,0.0002992288291086009,-200,4.982570171356201
49,upper,full_joint,sqp,0.0003,-0.06147814338261252,0.9403734988985833,0.909285298509405,0.09071470149059502,multistart:gamma_only_best,0.009041166741011993,0.01063368740243659,0.00029979818025236007,-101,39.418214082717896
49,upper,gamma_only,active,0.001,-0.06326000511815685,0.9386993753151025,0.9082057926929793,0.0917942073070207,cold_verified,0.0,0.0,0.0009989756410950367,-200,13.966182947158813
49,upper,gamma_technology,active,0.001,-0.05947230136911263,0.9422616325869355,0.910502033623569,0.08949796637643104,cold_verified,0.02656796856621287,0.0,0.0009970795999518361,-200,8.649967908859253
49,upper,gamma_participation,active,0.001,-0.05947261937926562,0.9422613329382172,0.9105018405909955,0.08949815940900452,cold_verified,0.0,0.03586815154605898,0.0009993670646796103,-200,6.216578006744385
49,upper,full_joint,sqp,0.001,-0.06327036056626444,0.9386896547127636,0.9081995227959837,0.0918004772040163,multistart:gamma_only_best,0.015087019245775754,0.01627370204037019,0.0009995819690196488,-101,41.092835903167725
49,upper,gamma_only,active,0.003,-0.06645342845589368,0.9357064921377847,0.9062743257038488,0.0937256742961512,cold_verified,0.0,0.0,0.0029870427562713932,-200,10.475157022476196
