branch,grid_index,fraction_to_theoretical_endpoint,gamma_d_prime,kappa_ratio,gains_from_trade_pct,A_hash,f_hash,classification,delta_star,certified_lower_bound,exact_infeasibility_kind,exact_infeasibility_block,policy,evaluation_cap,raw_lower_limit,solver_status,iterations,wall_seconds,warm_start_source,primal_dual_gap,normalization_residual,weighted_moment_residual,kkt_residual,primal_divergence,dual_divergence,min_slack,gravity_residual_A,gravity_residual_f,min_density_ratio,max_density_ratio,cold_replay_status
A_toward_min_gamma,31,0.60062500,0.6027026288,0.9241457257,7.58542743,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.85182004e+00,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,22,0.5987,previous_finite_idx30,3.774758e-15,0.000000e+00,1.332268e-14,NaN,1.851820e+00,1.851820e+00,2.455297e-02,-3.756544e-15,4.458239e-16,1.928712e-68,5.828550e+02,not_replayed
A_toward_min_gamma,32,0.64000000,0.5991435450,0.9205039544,7.94960456,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,3.34564999e+00,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,24,0.5984,previous_finite_idx31,4.427569e-13,1.110223e-16,9.139845e-14,NaN,3.345650e+00,3.345650e+00,2.455297e-02,-3.756544e-15,7.684825e-16,1.068687e-179,9.739503e+02,not_replayed
A_toward_min_gamma,33,0.68062500,0.5954788465,0.9167465713,8.32534287,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1336,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,34,0.72250000,0.5917092405,0.9128735764,8.71264236,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1320,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,35,0.76562500,0.5878354583,0.9088849697,9.11150303,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1376,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,36,0.81000000,0.5838582563,0.9047807513,9.52192487,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1441,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,37,0.85562500,0.5797784152,0.9005609210,9.94390790,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1349,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,38,0.90250000,0.5755967413,0.8962254790,10.37745210,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1359,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,39,0.95062500,0.5713140661,0.8917744252,10.82255748,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1412,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,40,0.99000000,0.5678179977,0.8881326539,11.18673461,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1363,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,41,0.99500000,0.5673745646,0.8876702067,11.23297933,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1636,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
A_toward_min_gamma,42,0.99900000,0.5670199013,0.8873002490,11.26997510,9a1740660f5d4abf,c9e739c0aaaab3dd,InfiniteDeltaCertified,NaN,NaN,origin_block,2,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,-1,8,0.1362,previous_finite_idx32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_replayed
