label,radius,dir_idx,sign,gp,Delta,feasible,improved
upper_lfixcomposite_sr1_60s,0.001,8,-1.0,0.8926359584642946,1.0001889787873295,false,false
upper_lfixcomposite_sr1_60s,0.001,9,1.0,0.8926359584642946,1.000198951080913,false,false
upper_lfixcomposite_sr1_60s,0.001,9,-1.0,0.8926359584642946,1.000171970088338,false,false
upper_lfixcomposite_sr1_60s,0.001,10,1.0,0.8926359584642946,1.0000319843150651,false,false
upper_lfixcomposite_sr1_60s,0.001,10,-1.0,0.8926359584642946,0.9999868191049499,true,false
upper_lfixcomposite_sr1_60s,0.001,11,1.0,0.8926359584642946,1.000100495980112,false,false
upper_lfixcomposite_sr1_60s,0.001,11,-1.0,0.8926359584642946,0.999984678466462,true,false
upper_lfixcomposite_sr1_60s,0.001,12,1.0,0.8926359584642946,1.000060557316561,false,false
upper_lfixcomposite_sr1_60s,0.001,12,-1.0,0.8926359584642946,1.000032606593127,false,false
upper_lfixcomposite_sr1_60s,0.001,13,1.0,0.8926359584642946,1.000000543287237,true,false
upper_lfixcomposite_sr1_60s,0.001,13,-1.0,0.8926359584642946,0.9999847935176708,true,false
upper_lfixcomposite_sr1_60s,0.001,14,1.0,0.8926359584642946,1.0000029138152433,false,false
upper_lfixcomposite_sr1_60s,0.001,14,-1.0,0.8926359584642946,0.9999823934225625,true,false
upper_lfixcomposite_sr1_60s,0.001,15,1.0,0.8926359584642946,0.9999861178110432,true,false
upper_lfixcomposite_sr1_60s,0.001,15,-1.0,0.8926359584642946,0.9999711150021555,true,false
upper_lfixcomposite_sr1_60s,0.001,16,1.0,0.8926359584642946,1.0000028816621584,false,false
upper_lfixcomposite_sr1_60s,0.001,16,-1.0,0.8926359584642946,0.9999822961892958,true,false
upper_lfixcomposite_sr1_60s,0.001,17,1.0,0.8923493712041395,1.0133359456296969,false,false
upper_lfixcomposite_sr1_60s,0.001,17,-1.0,0.8929225457244496,0.9870433387627073,true,false
upper_lfixcomposite_sr1_60s,0.001,18,1.0,0.8926166340117154,1.0006556613989537,false,false
