row,branch,g,best_Delta_multistart,second_best_Delta_multistart,best_start_kind,n_feasible_of_9,n_total_starts,exact_feasible,Delta_minus_delta,knitro_status,runtime_wall_s,a_solution_key
27,high_g,0.994,0.5410771291247471,NaN,fine_continuation,1,1,true,-0.47392804516055187,-101,1.0771989822387695,row27_g0.994
28,high_g,0.9945,0.5434762709907709,NaN,best_of_3:continuation,1,3,true,-0.43202853868042834,-101,1.1507890224456787,row28_g0.9945
29,high_g,0.995,0.6334617465028688,NaN,fine_continuation,1,1,true,-0.3841554107016558,-101,1.1740820407867432,row29_g0.995
30,high_g,0.9955,0.6441019104649595,NaN,best_of_3:continuation,1,3,true,-0.328524379216679,-102,1.210637092590332,row30_g0.9955
31,high_g,0.996,0.7595542862675568,NaN,fine_continuation,1,1,true,-0.2624191505089637,-102,1.2183830738067627,row31_g0.996
32,high_g,0.9965,0.7883573296152067,NaN,best_of_3:continuation,1,3,true,-0.18156493189786405,-101,1.110192060470581,row32_g0.9965
33,high_g,0.9967391744173478,0.8922699199044899,0.9990428758456139,continuation,3,12,true,-0.13578088685294576,-102,1.108915090560913,row33_g0.99673917
34,high_g,0.997,0.9524079674525731,NaN,fine_continuation,1,1,true,-0.07888764267807902,-101,1.1966280937194824,row34_g0.997
35,high_g,0.997015625,0.9942480007103667,NaN,best_of_3:continuation,1,3,true,-0.07520918090425532,-102,1.191236972808838,row35_g0.99701562
36,high_g,0.9970234375,0.9850598607062412,NaN,best_of_3:continuation,1,3,true,-0.07335742617674179,-101,1.2777440547943115,row36_g0.99702344
37,high_g,0.99702734375,0.9859844182527243,NaN,best_of_3:continuation,1,3,true,-0.07242839031874215,-101,1.1052379608154297,row37_g0.99702734
38,high_g,0.9970292968750001,0.9864473962879787,NaN,best_of_3:continuation,1,3,true,-0.07196307929559476,-102,1.1185851097106934,row38_g0.9970293
39,high_g,0.9970302734375001,0.9866790604630257,NaN,best_of_3:continuation,1,3,true,-0.07173022507227267,-102,1.129673957824707,row39_g0.99703027
40,high_g,0.99703076171875,0.986794936382728,NaN,best_of_3:continuation,1,3,true,-0.07161374822773536,-101,1.1945559978485107,row40_g0.99703076
41,high_g,0.99703125,1.008576438259654,NaN,best_of_3:continuation,1,3,true,-0.07149723820701404,-101,1.2096679210662842,row41_g0.99703125
42,high_g,0.9970625,1.0163749455197346,NaN,best_of_3:continuation,1,3,true,-0.06397086616858716,-102,0.8888089656829834,row42_g0.9970625
43,high_g,0.997125,1.014302098987459,NaN,best_of_3:calib,1,3,true,-0.04849334165829733,-101,1.16463303565979,row43_g0.997125
44,high_g,0.99725,1.018540545399987,NaN,best_of_3:continuation,1,3,true,-0.015713524967851278,-102,1.0590529441833496,row44_g0.99725
45,high_g,0.9975,1.0225170170127802,NaN,best_of_3:continuation,1,3,true,0.05825994173473026,-102,0.90476393699646,row45_g0.9975
46,high_g,0.998,1.3116628637632348,NaN,fine_continuation,1,1,true,0.2537070057793911,-102,1.0804979801177979,row46_g0.998
47,high_g,0.9985,1.5146987508016032,NaN,best_of_3:continuation,1,3,true,0.5649399946658864,-102,1.7193899154663086,row47_g0.9985
48,high_g,0.999,2.1741879934876884,2.210004532644469,calib,3,12,true,1.1378214600531944,-102,4.865887880325317,row48_g0.999
49,high_g,0.9995,3.539207596715654,4.017870188328672,lower_incumbent,3,12,true,2.5257889898731585,-102,1.4570388793945312,row49_g0.9995
50,high_g,1.0,NaN,NaN,NONE,0,12,false,NaN,0,0.5242838859558105,row50_g1.0
