family,L,contrasts,method,point,n_var,ferr_abs,frel,gerr_abs,grel,pass
common_frechet,10,orthonormal,suffix,knitro_init,58,0.0,0.0,1.7694179454963432e-16,1.7694179454963432e-16,PASS
common_frechet,10,orthonormal,suffix,solver_derived_calib,58,2.2551405187698492e-17,2.2551405187698492e-17,5.282145071072403e-16,5.282145071072403e-16,PASS
common_frechet,10,orthonormal,suffix,random_1,58,3.469446951953614e-18,3.469446951953614e-18,3.3480163086352377e-16,3.3480163086352377e-16,PASS
common_frechet,10,orthonormal,suffix,random_2,58,6.938893903907228e-18,6.938893903907228e-18,4.128641872824801e-16,4.128641872824801e-16,PASS
common_frechet,10,orthonormal,suffix,random_3,58,8.456776945386935e-18,8.456776945386935e-18,3.634245682171411e-16,3.634245682171411e-16,PASS
common_frechet,10,orthonormal,suffix,random_4,58,1.1709383462843448e-17,1.1709383462843448e-17,3.883612181843077e-16,3.883612181843077e-16,PASS
common_frechet,10,orthonormal,suffix,random_5,58,1.214306433183765e-17,1.214306433183765e-17,2.7755575615628914e-16,2.7755575615628914e-16,PASS
common_frechet,10,orthonormal,suffix,random_6,58,6.938893903907228e-18,6.938893903907228e-18,1.0633854907737827e-15,1.0633854907737827e-15,PASS
common_frechet,20,anchored,suffix,knitro_init,98,0.0,0.0,2.5673907444456745e-16,2.5673907444456745e-16,PASS
common_frechet,20,anchored,suffix,solver_derived_calib,98,1.4224732503009818e-16,1.4224732503009818e-16,4.425713268085829e-16,4.425713268085829e-16,PASS
common_frechet,20,anchored,suffix,random_1,98,1.0408340855860843e-17,1.0408340855860843e-17,2.7582103268031233e-16,2.7582103268031233e-16,PASS
common_frechet,20,anchored,suffix,random_2,98,0.0,0.0,4.954803928258755e-16,4.954803928258755e-16,PASS
common_frechet,20,anchored,suffix,random_3,98,5.204170427930421e-18,5.204170427930421e-18,4.996003610813204e-16,4.996003610813204e-16,PASS
common_frechet,20,anchored,suffix,random_4,98,3.8163916471489756e-17,3.8163916471489756e-17,3.7296554733501353e-16,3.7296554733501353e-16,PASS
common_frechet,20,anchored,suffix,random_5,98,1.0408340855860843e-17,1.0408340855860843e-17,3.469446951953614e-16,3.469446951953614e-16,PASS
common_frechet,20,anchored,suffix,random_6,98,1.6479873021779667e-17,1.6479873021779667e-17,2.5326962749261384e-16,2.5326962749261384e-16,PASS
common_frechet,20,orthonormal,suffix,knitro_init,98,0.0,0.0,2.5673907444456745e-16,2.5673907444456745e-16,PASS
common_frechet,20,orthonormal,suffix,solver_derived_calib,98,0.0,0.0,8.906720846968419e-16,8.906720846968419e-16,PASS
common_frechet,20,orthonormal,suffix,random_1,98,1.0408340855860843e-17,1.0408340855860843e-17,5.134781488891349e-16,5.134781488891349e-16,PASS
common_frechet,20,orthonormal,suffix,random_2,98,0.0,0.0,2.983724378680108e-16,2.983724378680108e-16,PASS
common_frechet,20,orthonormal,suffix,random_3,98,6.071532165918825e-18,6.071532165918825e-18,7.528699885739343e-16,7.528699885739343e-16,PASS
common_frechet,20,orthonormal,suffix,random_4,98,3.642919299551295e-17,3.642919299551295e-17,3.191891195797325e-16,3.191891195797325e-16,PASS
common_frechet,20,orthonormal,suffix,random_5,98,8.673617379884035e-18,8.673617379884035e-18,3.7686867515596134e-16,3.7686867515596134e-16,PASS
common_frechet,20,orthonormal,suffix,random_6,98,1.734723475976807e-17,1.734723475976807e-17,3.3480163086352377e-16,3.3480163086352377e-16,PASS
common_frechet,50,anchored,suffix,knitro_init,218,0.0,0.0,3.5735303605122226e-16,3.5735303605122226e-16,PASS
common_frechet,50,anchored,suffix,solver_derived_calib,218,1.942890293094024e-16,1.942890293094024e-16,1.781777850262678e-15,1.781777850262678e-15,PASS
common_frechet,50,anchored,suffix,random_1,218,8.326672684688674e-17,8.326672684688674e-17,4.475586568020162e-16,4.475586568020162e-16,PASS
common_frechet,50,anchored,suffix,random_2,218,1.734723475976807e-16,1.734723475976807e-16,5.898059818321144e-16,5.898059818321144e-16,PASS
common_frechet,50,anchored,suffix,random_3,218,3.469446951953614e-17,3.469446951953614e-17,4.996003610813204e-16,4.996003610813204e-16,PASS
common_frechet,50,anchored,suffix,random_4,218,1.214306433183765e-17,1.214306433183765e-17,5.273559366969494e-16,5.273559366969494e-16,PASS
common_frechet,50,anchored,suffix,random_5,218,1.734723475976807e-17,1.734723475976807e-17,5.598820018715145e-16,5.598820018715145e-16,PASS
common_frechet,50,anchored,suffix,random_6,218,2.0816681711721685e-17,2.0816681711721685e-17,3.9898639947466563e-16,3.9898639947466563e-16,PASS
common_frechet,50,orthonormal,suffix,knitro_init,218,0.0,0.0,3.5735303605122226e-16,3.5735303605122226e-16,PASS
common_frechet,50,orthonormal,suffix,solver_derived_calib,218,3.8163916471489756e-17,3.8163916471489756e-17,1.780368387438447e-15,1.780368387438447e-15,PASS
common_frechet,50,orthonormal,suffix,random_1,218,8.673617379884035e-17,8.673617379884035e-17,3.2959746043559335e-16,3.2959746043559335e-16,PASS
common_frechet,50,orthonormal,suffix,random_2,218,1.6653345369377348e-16,1.6653345369377348e-16,3.885780586188048e-16,3.885780586188048e-16,PASS
common_frechet,50,orthonormal,suffix,random_3,218,2.42861286636753e-17,2.42861286636753e-17,7.858297346174936e-16,7.858297346174936e-16,PASS
common_frechet,50,orthonormal,suffix,random_4,218,1.5612511283791264e-17,1.5612511283791264e-17,4.996003610813204e-16,4.996003610813204e-16,PASS
common_frechet,50,orthonormal,suffix,random_5,218,7.806255641895632e-18,7.806255641895632e-18,4.445228907190568e-16,4.445228907190568e-16,PASS
common_frechet,50,orthonormal,suffix,random_6,218,1.734723475976807e-17,1.734723475976807e-17,6.106226635438361e-16,6.106226635438361e-16,PASS
