 Count  Overhead File                    Line Function
   162         0 …hFunction_jacobian.jl  129 hFunction_jacobian_calculation!(j…
   165        83 @Base/math.jl           404 nan_dom_err
   167         0 @Base/operators.jl     1100 call_composed
   167         8 @Base/sort.jl          1769 sort
   168         3 @Base/simdloop.jl        75 macro expansion
   168       168 @Base/float.jl          497 *
   180         0 @Base/subarray.jl       316 getindex
   187         0 …PsiObjectiveBundle.jl  462 hessian!(h::Vector{Float64}, obj:…
   187       187 @LinearAlgebra/src/blas.jl 1642 gemm!(transA::Char, transB::Char,…
   191         0 @Base/multidimensional.jl  743 getindex
   195       195 @Base/int.jl             83 <
   212         0 @Base/boot.jl           660 Array
   215         0 …r/moments/moments!.jl  219 EK_moments_simple!(K::SubArray{Fl…
   231         0 @Base/operators.jl     1096 ComposedFunction
   231         0 @Base/operators.jl     1096 #_#54
   231         2 @Base/operators.jl     1099 call_composed
   232         0 @InvertedIndices/…rc/InvertedIndices.jl  174 uniquesort
   233         0 @InvertedIndices/…rc/InvertedIndices.jl  182 to_indices
   234         0 …PsiObjectiveBundle.jl  219 (::PsiObjectiveBundleImplicit{@Na…
   235         0 @Base/broadcast.jl      665 _broadcast_getindex
   235         0 @Base/indices.jl        360 to_indices
   256         0 @Base/multidimensional.jl  979 _unsafe_getindex!
   263         2 …r/moments/moments!.jl  136 macro expansion
   269         0 @Base/boot.jl           647 Array
   277         0 @Base/math.jl          1159 ^(x::Float64, y::Float64)
   317       317 @LinearAlgebra/src/blas.jl  668 gemv!(trans::Char, alpha::Float64…
   330         0 @Base/broadcast.jl      902 materialize!(dest::SubArray{Float…
   350         0 …/moments_Jacobian!.jl  139 EK_moments_Jacobian_Simple!(jac_K…
   357        11 @SpecialFunctions/src/gamma.jl   20 digamma
   358         1 @SpecialFunctions/src/gamma.jl  343 _polygamma(m::Int64, z::Float64)
   375         0 …PsiObjectiveBundle.jl  243 (::PsiObjectiveBundleImplicit{@Na…
   385         0 @Base/broadcast.jl      955 copyto!
   385         0 @Base/multidimensional.jl 1185 fill!
   387         5 @SpecialFunctions/src/gamma.jl  340 polygamma
   401       401 @Base/essentials.jl     920 getindex
   405         0 @Base/array.jl          929 getindex
   416         0 @KNITRO/src/C_wrapper.jl  308 _eval_hess_wrapper(ptr_model::Ptr…
   416         0 @KNITRO/src/C_wrapper.jl  314 (::KNITRO.var"#_eval_hess_wrapper…
   416         0 …ner_loop_functions.jl   40 callbackEvalH_inner!(kc::Ptr{Noth…
   493         0 @Base/boot.jl           662 Array
   493         0 @Base/boot.jl           654 Array
   505         0 …PsiObjectiveBundle.jl  172 PsiObjectiveBundleImplicit
   506         0 @KNITRO/src/C_wrapper.jl  280 _try_catch_handler(f::KNITRO.var"…
   508         0 @Base/boot.jl           604 new_as_memoryref
   508         0 @Base/threadingconstructs.jl  246 #EK_moments_simple!##0
   508         0 @Base/threadingconstructs.jl  279 (::var"#EK_moments_simple!##0#EK_…
   536         0 …r/moments/moments!.jl  131 EK_moments_simple!(K::SubArray{Fl…
   554         0 @Base/subarray.jl        67 similar
   566         0 …ner_loop_functions.jl   88 inner_loop_KNITRO(obj::PsiObjecti…
   566         0 @KNITRO/src/C_wrapper.jl  186 KN_solve
   566        59 @KNITRO/src/libknitro.jl 1957 KN_solve
   593         0 @Base/abstractarray.jl 1473 _setindex!
   637         0 @Base/multidimensional.jl  968 _unsafe_getindex(::IndexCartesian…
   639         0 @Base/abstractarray.jl 1443 setindex!
   642         1 …ner_loop_functions.jl  203 inner_loop_internal(obj::PsiObjec…
   647         0 …hFunction_jacobian.jl  117 hFunction_jacobian_calculation!(j…
   705         0 @Base/abstractarray.jl  822 similar
   705         0 @Base/array.jl          377 similar
   777       777 @Base/boot.jl           588 GenericMemory
   779         8 …r/moments/moments!.jl  230 EK_moments!(K::SubArray{Float64, …
   780         1 …ner_loop_functions.jl  199 inner_loop_internal(obj::PsiObjec…
   822         0 @Base/array.jl          997 setindex!
   822       811 @Base/array.jl         1003 _setindex!
   894         0 @Base/subarray.jl       386 setindex!
   947       947 @Base/float.jl          498 /
   949         0 …/moments_Jacobian!.jl  150 EK_moments_Jacobian_Simple!(jac_K…
  1011         0 …r/moments/moments!.jl  199 EK_moments_simple!(K::SubArray{Fl…
  1023         1 …/moments_Jacobian!.jl  145 EK_moments_Jacobian_Simple!(jac_K…
  1181         7 …/moments_Jacobian!.jl  196 macro expansion
  1207         0 @Base/threadingconstructs.jl  279 (::var"#EK_moments_Jacobian_Simpl…
  1208         1 @Base/threadingconstructs.jl  246 #EK_moments_Jacobian_Simple!##4
  1231         0 …/moments_Jacobian!.jl  193 EK_moments_Jacobian_Simple!(jac_K…
  1238         0 @Base/multidimensional.jl  989 _unsafe_getindex!
  1238         0 @Base/multidimensional.jl  979 macro expansion
  1363      1363 @Base/array.jl          991 _setindex!
  1364         0 @Base/array.jl          986 setindex!
  1375         0 @Base/multidimensional.jl  970 _unsafe_getindex(::IndexCartesian…
  1421         0 @Base/multidimensional.jl  981 macro expansion
  1423         0 …tness_modular/diag.jl   86 outer_eval_once(obj::PsiObjective…
  1426         0 @Base/cartesian.jl       64 macro expansion
  1835         0 @Base/threadingconstructs.jl  178 (::Base.Threads.var"#threading_ru…
  1899         0 @Base/task.jl           312 _wait(t::Task)
  1899         0 @Base/condition.jl      136 wait
  1899         0 @Base/condition.jl      141 wait(c::Base.GenericCondition{Spi…
  1900         0 @Base/threadingconstructs.jl  192 threading_run(fun::var"#EK_moment…
  1906         1 @Base/threadingconstructs.jl  216 macro expansion
  2231         8 @Base/multidimensional.jl  956 _getindex
  2532         1 @Base/abstractarray.jl 1342 getindex
 10751         0 @SpecialFunctions/src/gamma.jl  592 gamma
 10751     10586 @SpecialFunctions/src/gamma.jl  602 _gamma
 11190         0 @Base/broadcast.jl      696 _getindex
 11416         0 @Base/broadcast.jl      671 _broadcast_getindex
 11416         0 @Base/broadcast.jl      695 _getindex
 12468         0 @Base/broadcast.jl      672 _broadcast_getindex
 12468         2 @Base/broadcast.jl      699 _broadcast_getindex_evalf
 12482         0 …/moments_Jacobian!.jl  333 EK_moments_Jacobian_Simple!(jac_K…
 12776         0 @Base/broadcast.jl      616 getindex
 12776         0 @Base/broadcast.jl      620 _getindex
 13099         0 @Base/simdloop.jl        77 macro expansion
 13099         6 @Base/broadcast.jl      995 macro expansion
 13270         0 @Base/broadcast.jl      994 copyto!
 13343         0 @Base/broadcast.jl      947 copyto!
 13397         0 @Base/broadcast.jl      902 materialize!
 13727         0 @Base/broadcast.jl      905 materialize!
 16186         0 @Base/task.jl           868 task_done_hook(t::Task)
 16579         0 …PsiObjectiveBundle.jl  214 (::PsiObjectiveBundleImplicit{@Na…
 16579         0 …ter_loop_functions.jl  238 calculate_jac_θ!(obj::PsiObjectiv…
 16619       230 …/moments_Jacobian!.jl  347 EK_moments_Jacobian!(jac_K::SubAr…
 16887         0 …PsiObjectiveBundle.jl  172 kwcall(::@NamedTuple{constr::Vect…
 16888         1 …tness_modular/diag.jl   89 outer_eval_once(obj::PsiObjective…
 18082     18076 @Base/task.jl          1216 poptask(W::Base.IntrusiveLinkedLi…
 18083         0 @Base/task.jl          1228 wait()
 18327         0 @Base/client.jl         550 _start()
 18327         0 @Base/client.jl         317 exec_options(opts::Base.JLOptions)
 18327         0 @Base/Base.jl           306 include(mod::Module, _path::Strin…
 18327         0 @Base/loading.jl       2934 _include(mapexpr::Function, mod::…
 18327         0 @Base/loading.jl       2874 include_string(mapexpr::typeof(id…
 18327        14 @Base/boot.jl           489 eval(m::Module, e::Any)
Total snapshots: 36672. Utilization: 51% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
